configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
branch_60,1_tullibee,com.ib.client.ExecutionFilter,1,43,49,88
branch_60,1_tullibee,com.ib.client.ExecutionFilter,2,45,49,92
branch_60,1_tullibee,com.ib.client.ExecutionFilter,3,42,49,86
branch_60,1_tullibee,com.ib.client.ExecutionFilter,4,41,49,84
branch_60,1_tullibee,com.ib.client.ExecutionFilter,5,46,49,94
branch_60,1_tullibee,com.ib.client.ExecutionFilter,6,44,49,90
branch_60,1_tullibee,com.ib.client.ExecutionFilter,7,44,49,90
branch_60,1_tullibee,com.ib.client.ExecutionFilter,8,42,49,86
branch_60,1_tullibee,com.ib.client.ExecutionFilter,9,41,49,84
branch_60,1_tullibee,com.ib.client.ExecutionFilter,10,44,49,90
branch_60,1_tullibee,com.ib.client.ComboLeg,1,48,56,86
branch_60,1_tullibee,com.ib.client.ComboLeg,2,51,56,91
branch_60,1_tullibee,com.ib.client.ComboLeg,3,50,56,89
branch_60,1_tullibee,com.ib.client.ComboLeg,4,51,56,91
branch_60,1_tullibee,com.ib.client.ComboLeg,5,51,56,91
branch_60,1_tullibee,com.ib.client.ComboLeg,6,53,56,95
branch_60,1_tullibee,com.ib.client.ComboLeg,7,50,56,89
branch_60,1_tullibee,com.ib.client.ComboLeg,8,51,56,91
branch_60,1_tullibee,com.ib.client.ComboLeg,9,48,56,86
branch_60,1_tullibee,com.ib.client.ComboLeg,10,51,56,91
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,1,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,2,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,3,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,4,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,5,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,6,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,7,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,8,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,9,0,401,0
branch_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,10,0,401,0
branch_60,10_water-simulator,simulator.CA.ConsumerAgent,1,12,586,2
branch_60,10_water-simulator,simulator.CA.ConsumerAgent,2,13,586,2
branch_60,10_water-simulator,simulator.CA.ConsumerAgent,3,18,586,3
branch_60,10_water-simulator,simulator.CA.ConsumerAgent,4,13,586,2
branch_60,10_water-simulator,simulator.CA.ConsumerAgent,5,12,586,2
