configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
default_60,1_tullibee,com.ib.client.ExecutionFilter,1,45,49,92
default_60,1_tullibee,com.ib.client.ExecutionFilter,2,42,49,86
default_60,1_tullibee,com.ib.client.ExecutionFilter,3,43,49,88
default_60,1_tullibee,com.ib.client.ExecutionFilter,4,0,49,0
default_60,1_tullibee,com.ib.client.ExecutionFilter,5,0,49,0
default_60,1_tullibee,com.ib.client.ExecutionFilter,6,0,49,0
default_60,1_tullibee,com.ib.client.ExecutionFilter,7,46,49,94
default_60,1_tullibee,com.ib.client.ExecutionFilter,8,45,49,92
default_60,1_tullibee,com.ib.client.ExecutionFilter,9,42,49,86
default_60,1_tullibee,com.ib.client.ExecutionFilter,10,45,49,92
default_60,1_tullibee,com.ib.client.ComboLeg,1,53,56,95
default_60,1_tullibee,com.ib.client.ComboLeg,2,51,56,91
default_60,1_tullibee,com.ib.client.ComboLeg,3,53,56,95
default_60,1_tullibee,com.ib.client.ComboLeg,4,52,56,93
default_60,1_tullibee,com.ib.client.ComboLeg,5,53,56,95
default_60,1_tullibee,com.ib.client.ComboLeg,6,51,56,91
default_60,1_tullibee,com.ib.client.ComboLeg,7,53,56,95
default_60,1_tullibee,com.ib.client.ComboLeg,8,52,56,93
default_60,1_tullibee,com.ib.client.ComboLeg,9,53,56,95
default_60,1_tullibee,com.ib.client.ComboLeg,10,52,56,93
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,1,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,2,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,3,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,4,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,5,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,6,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,7,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,8,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,9,0,401,0
default_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,10,0,401,0
default_60,10_water-simulator,simulator.CA.ConsumerAgent,1,22,586,4
default_60,10_water-simulator,simulator.CA.ConsumerAgent,2,29,586,5
default_60,10_water-simulator,simulator.CA.ConsumerAgent,3,24,586,4
default_60,10_water-simulator,simulator.CA.ConsumerAgent,4,24,586,4
default_60,10_water-simulator,simulator.CA.ConsumerAgent,5,26,586,4
default_60,10_water-simulator,simulator.CA.ConsumerAgent,6,29,586,5
default_60,10_water-simulator,simulator.CA.ConsumerAgent,7,21,586,4
default_60,10_water-simulator,simulator.CA.ConsumerAgent,8,24,586,4
default_60,10_water-simulator,simulator.CA.ConsumerAgent,9,22,586,4
default_60,10_water-simulator,simulator.CA.ConsumerAgent,10,22,586,4
default_60,100_jgaap,jgaapGUI,1,387,452,86
default_60,100_jgaap,jgaapGUI,2,387,452,86
default_60,100_jgaap,jgaapGUI,3,387,452,86
default_60,100_jgaap,jgaapGUI,4,387,452,86
default_60,100_jgaap,jgaapGUI,5,384,452,85
default_60,100_jgaap,jgaapGUI,6,387,452,86
default_60,100_jgaap,jgaapGUI,7,383,452,85
default_60,100_jgaap,jgaapGUI,8,387,452,86
default_60,100_jgaap,jgaapGUI,9,387,452,86
default_60,100_jgaap,jgaapGUI,10,164,452,36
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,1,146,198,74
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,2,143,198,72
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,3,126,198,64
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,4,136,198,69
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,5,137,198,69
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,6,139,198,70
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,7,130,198,66
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,8,128,198,65
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,9,138,198,70
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,10,136,198,69
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,1,120,174,69
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,2,123,174,71
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,3,119,174,68
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,4,120,174,69
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,5,117,174,67
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,6,123,174,71
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,7,122,174,70
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,8,125,174,72
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,9,122,174,70
default_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,10,119,174,68
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,1,102,1609,6
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,2,97,1609,6
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,3,112,1609,7
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,4,116,1609,7
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,5,110,1609,7
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,6,120,1609,7
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,7,108,1609,7
default_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,8,86,1609,5
