configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
output_60,1_tullibee,com.ib.client.ExecutionFilter,1,45,49,92
output_60,1_tullibee,com.ib.client.ExecutionFilter,2,42,49,86
output_60,1_tullibee,com.ib.client.ExecutionFilter,3,42,49,86
output_60,1_tullibee,com.ib.client.ExecutionFilter,4,41,49,84
output_60,1_tullibee,com.ib.client.ExecutionFilter,5,43,49,88
output_60,1_tullibee,com.ib.client.ExecutionFilter,6,46,49,94
output_60,1_tullibee,com.ib.client.ExecutionFilter,7,44,49,90
output_60,1_tullibee,com.ib.client.ExecutionFilter,8,44,49,90
output_60,1_tullibee,com.ib.client.ExecutionFilter,9,41,49,84
output_60,1_tullibee,com.ib.client.ExecutionFilter,10,42,49,86
output_60,1_tullibee,com.ib.client.ComboLeg,1,49,56,88
output_60,1_tullibee,com.ib.client.ComboLeg,2,51,56,91
output_60,1_tullibee,com.ib.client.ComboLeg,3,48,56,86
output_60,1_tullibee,com.ib.client.ComboLeg,4,49,56,88
output_60,1_tullibee,com.ib.client.ComboLeg,5,50,56,89
output_60,1_tullibee,com.ib.client.ComboLeg,6,50,56,89
output_60,1_tullibee,com.ib.client.ComboLeg,7,50,56,89
output_60,1_tullibee,com.ib.client.ComboLeg,8,46,56,82
output_60,1_tullibee,com.ib.client.ComboLeg,9,50,56,89
output_60,1_tullibee,com.ib.client.ComboLeg,10,52,56,93
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,1,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,2,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,3,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,4,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,5,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,6,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,7,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,8,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,9,0,401,0
output_60,10_water-simulator,simulator.CA.gui.ConsumerGUI,10,0,401,0
output_60,10_water-simulator,simulator.CA.ConsumerAgent,1,13,586,2
output_60,10_water-simulator,simulator.CA.ConsumerAgent,2,12,586,2
output_60,10_water-simulator,simulator.CA.ConsumerAgent,3,18,586,3
output_60,10_water-simulator,simulator.CA.ConsumerAgent,4,18,586,3
output_60,10_water-simulator,simulator.CA.ConsumerAgent,5,17,586,3
output_60,10_water-simulator,simulator.CA.ConsumerAgent,6,18,586,3
output_60,10_water-simulator,simulator.CA.ConsumerAgent,7,18,586,3
output_60,10_water-simulator,simulator.CA.ConsumerAgent,8,18,586,3
output_60,10_water-simulator,simulator.CA.ConsumerAgent,9,13,586,2
output_60,10_water-simulator,simulator.CA.ConsumerAgent,10,13,586,2
output_60,100_jgaap,jgaapGUI,1,387,452,86
output_60,100_jgaap,jgaapGUI,2,164,452,36
output_60,100_jgaap,jgaapGUI,3,387,452,86
output_60,100_jgaap,jgaapGUI,4,384,452,85
output_60,100_jgaap,jgaapGUI,5,387,452,86
output_60,100_jgaap,jgaapGUI,6,387,452,86
output_60,100_jgaap,jgaapGUI,7,387,452,86
output_60,100_jgaap,jgaapGUI,8,387,452,86
output_60,100_jgaap,jgaapGUI,9,387,452,86
output_60,100_jgaap,jgaapGUI,10,387,452,86
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,1,123,198,62
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,2,137,198,69
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,3,130,198,66
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,4,125,198,63
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,5,136,198,69
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,6,131,198,66
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,7,127,198,64
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,8,130,198,66
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,9,132,198,67
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,10,127,198,64
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,1,123,174,71
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,2,115,174,66
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,3,113,174,65
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,4,107,174,61
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,5,125,174,72
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,6,125,174,72
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,7,113,174,65
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,8,115,174,66
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,9,123,174,71
output_60,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,10,121,174,70
output_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,1,109,1609,7
output_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,2,93,1609,6
output_60,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,3,102,1609,6
