class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Capture,class,3,6,3,3,26,1,0,37,4,0.5428571,0.0,0.0,5,0,5,0,0,0,5,0,0,0,7,0,0,7,0,0,0,0,17,192,2,1,3,3,11,48,22,47,39,32,5,0,0,0,169,1,0
Client,class,20,29,9,20,82,15,0,89,107,0.9074075,0.0,0.0,18,1,9,9,0,0,9,0,0,0,30,0,0,30,0,0,0,0,15,1054,5,17,8,4,5,55,180,138,74,97,7,0,15,0,173,1,0
Convert,class,4,11,7,4,35,1,0,44,3,0.60714287,0.0,0.0,6,0,6,0,0,0,6,0,0,0,14,0,0,13,1,0,0,0,17,276,1,5,8,4,20,83,60,82,47,40,9,0,0,0,233,1,0
JSci.maths.LinearMath,class,18,27,9,18,156,2,0,37,313,0.84615386,0.0,0.0,26,25,13,13,0,0,13,0,0,0,1,1,0,1,0,0,1,0,76,685,19,94,18,0,29,15,343,475,308,213,6,0,0,0,267,17,0
JSci.maths.SpecialMath,class,4,12,8,4,117,2,0,23,182,0.902299,0.0,0.0,24,23,16,8,0,0,16,0,0,0,58,58,2,56,0,0,58,0,110,486,53,12,10,0,113,1,875,244,418,145,5,5,0,0,280,17,0
JSci.maths.symbolic.ExpressionParser,class,19,21,2,19,334,3,0,97,3678,0.9474156,0.0,0.0,89,85,23,66,0,0,24,0,76,1,23,23,3,19,0,1,3,0,245,1190,177,28,32,26,9,17,220,287,5,86,7,0,2,0,196,1,0
JSci.maths.symbolic.SimpleCharStream,class,3,6,3,3,60,1,0,11,98,0.8,0.0,0.0,28,16,25,0,3,0,28,0,0,0,15,15,2,0,10,3,1,0,18,251,13,2,11,2,13,3,76,101,47,29,3,0,0,0,108,0,0
Joshua.FoxHunt.FoxHuntFrame,class,7,8,1,7,20,7,0,38,4,0.74603176,0.0,0.0,9,0,3,6,0,0,3,0,0,0,8,0,0,0,0,8,0,0,10,181,0,2,4,1,2,18,24,51,1,44,3,0,1,0,95,1,0
Joshua.FoxHunt.HuntDisplay,class,2,4,2,2,15,4,0,21,1,0.5833334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,74,2,6,2,0,16,0,24,29,14,23,2,0,0,0,50,1,0
MP3,class,5,7,2,5,7,2,0,14,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,46,0,1,3,2,1,1,6,14,1,12,3,0,0,0,29,1,0
Menu,class,3,6,3,3,46,1,0,35,9,0.6428572,0.0,0.0,7,0,7,0,0,0,7,0,0,0,12,0,0,12,0,0,0,0,8,262,3,8,10,4,8,96,34,58,38,32,6,2,0,0,200,1,0
Newzgrabber.BatchDriver,class,5,8,3,5,24,1,0,20,0,0.625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,8,0,0,8,0,0,0,0,6,119,7,1,6,5,5,27,11,42,10,29,4,0,0,0,87,1,0
Newzgrabber.Downloader,class,12,18,6,12,158,1,0,54,136,0.8923077,0.0,0.0,20,0,18,2,0,0,18,0,0,0,26,5,1,21,4,0,3,0,11,426,13,8,40,11,2,107,46,85,41,55,9,0,0,0,170,1,0
Newzgrabber.Newzgrabber,class,16,19,3,16,58,6,0,65,60,0.876923,0.0,0.0,13,3,13,0,0,0,13,0,0,0,15,14,14,1,0,0,0,0,17,285,3,7,6,10,6,52,54,88,17,64,6,0,0,0,161,1,0
Scanner,class,5,13,8,5,435,1,0,62,0,0.6842106,0.0,0.0,38,0,5,33,0,0,5,0,0,0,7,0,1,3,0,3,0,0,0,1574,153,44,149,1,166,446,187,537,130,194,10,0,0,0,158,1,0
accessories.plugins.time.JDayChooser,class,4,12,8,4,134,10,0,82,1162,0.93035716,0.0,0.0,56,1,50,2,4,0,54,0,0,0,30,2,1,2,27,0,2,0,13,628,21,18,27,0,13,11,134,127,25,83,3,1,1,0,251,1,0
apbs_mem_gui.Main,class,20,25,5,20,156,11,0,111,45,0.8643412,0.0,0.0,15,1,9,5,1,0,10,0,0,0,32,2,0,14,6,12,0,0,12,1086,12,6,43,4,24,251,307,147,49,134,5,0,5,0,337,1,0
bcry.battlecryGUI,class,6,10,4,6,51,6,0,75,52,0.89724576,0.0,0.0,16,1,4,12,0,0,4,0,0,0,59,1,0,59,0,0,5,0,9,431,0,1,24,3,12,97,51,95,17,69,2,3,0,0,163,1,0
bcry.bcGenerator,class,6,11,5,6,160,1,0,62,75,0.7969925,0.0,0.0,19,0,3,16,0,0,3,0,0,0,7,0,0,7,0,0,2,0,2,500,16,22,51,1,76,122,199,177,72,70,5,0,0,0,103,0,0
bible.obj.Verse,class,9,15,6,9,30,1,0,32,93,0.84444445,0.0,0.0,15,6,11,4,0,0,11,0,0,0,6,3,0,6,0,0,1,0,16,137,12,2,6,3,4,36,7,32,8,22,2,0,0,0,79,1,0
bible.util.Queue,class,2,5,3,2,27,1,0,9,0,0.625,0.0,0.0,12,0,12,0,0,0,12,0,0,3,6,1,1,5,0,0,1,0,0,113,8,3,9,0,6,6,5,28,3,12,4,0,1,0,138,1,0
bierse.controller.DefaultSettingsController,class,6,9,3,6,16,1,0,50,0,0.11111111,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,74,0,1,2,0,0,2,8,8,0,8,2,0,0,0,31,1,0
bierse.model.Drink,class,8,18,10,8,67,1,0,34,682,0.8994709,0.0,0.0,45,1,45,0,0,0,45,0,0,1,21,2,2,18,0,1,2,0,20,329,27,0,5,2,8,34,26,97,35,49,3,0,0,0,165,1,13
ch.bfh.egov.nutzenportfolio.common.AuswertungGrafik,class,4,6,2,4,11,3,0,28,0,0.47619048,,,2,0,1,1,0,0,1,0,0,0,21,20,0,21,0,0,20,0,5,130,2,3,4,0,13,49,95,50,104,43,2,0,0,0,89,1,14
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,class,17,20,3,17,30,1,0,69,0,0.625,0.0,0.0,8,0,7,1,0,0,7,0,0,0,6,0,0,6,0,0,0,0,1,216,11,2,18,0,6,57,17,63,40,52,4,0,0,0,120,1,30
ch.bluepenguin.email.client.tapestry.MessageList,class,8,10,2,8,22,4,0,24,37,0.72727275,0.0,0.0,11,0,11,0,0,0,11,5,0,0,3,1,0,3,0,0,1,0,1,72,6,1,4,2,0,6,1,13,4,10,2,0,0,0,64,1025,5
client.network.ForwardingObserver,class,10,10,0,10,8,1,0,15,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,41,0,0,2,0,0,0,8,14,0,10,3,0,0,0,62,1,0
com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,class,23,30,7,23,61,1,0,54,28,0.82539684,0.0,0.0,9,2,5,4,0,0,5,0,0,0,7,4,0,7,0,0,5,0,19,300,6,1,31,1,6,29,16,60,14,46,4,4,0,0,104,1,0
com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,class,18,57,39,18,62,2,2,45,147,0.91111106,0.0,0.0,18,0,13,2,3,0,16,0,0,0,5,0,0,3,0,2,0,0,0,242,15,4,16,0,9,22,15,39,10,28,3,3,0,0,96,1,0
com.allenstudio.ir.ui.MainMenu,class,5,8,3,5,20,5,0,20,6,0.75,0.0,0.0,4,0,2,2,0,0,2,0,0,0,4,3,0,4,0,0,3,0,11,91,1,2,6,3,1,7,22,22,17,15,5,0,0,0,87,1,0
com.allenstudio.ir.util.XmlElement,class,1,7,6,1,72,2,0,45,106,0.70000005,0.0,0.0,36,1,35,1,0,0,35,0,0,0,5,0,0,0,0,5,0,0,1,257,26,6,22,1,21,8,19,60,11,30,3,0,0,0,214,1,0
com.browsersoft.aacs.User,class,6,21,15,6,82,1,0,45,1105,0.93837535,0.0,0.0,51,3,49,2,0,0,49,0,0,0,21,4,0,19,0,2,1,0,12,289,30,5,16,1,8,49,24,78,27,45,3,0,0,0,208,1,3
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,class,5,11,6,5,32,1,0,20,18,0.5833333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,0,0,2,0,0,0,0,0,105,6,3,0,0,0,5,7,11,0,10,3,0,0,0,39,1,0
com.densebrain.rif.server.transport.WebServiceDescriptor,class,1,4,3,1,16,1,0,2,4,0.59259266,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,0,0,0,0,2,0,0,0,44,10,0,7,0,2,0,3,10,2,6,2,0,0,0,28,1,0
com.eteks.sweethome3d.SweetHome3D,class,26,47,21,26,75,3,0,80,213,0.93181807,0.0,0.0,22,1,6,8,7,1,14,0,0,0,12,3,0,12,0,0,4,0,34,634,13,7,18,5,1,28,28,60,4,51,5,12,4,0,403,1,0
com.eteks.sweethome3d.j3d.Room3D,class,17,21,4,17,174,5,0,131,98,0.7647059,0.0,0.0,17,0,3,14,0,0,4,0,0,0,4,3,0,4,0,0,4,0,27,508,9,37,64,0,22,1,149,194,62,127,7,1,0,0,195,1,0
com.eteks.sweethome3d.viewcontroller.HomeController,class,44,116,72,44,241,4,2,212,1338,0.8933424,0.0,0.0,92,0,64,24,4,0,68,0,1,0,16,1,0,16,0,0,7,0,3,1417,14,17,79,5,9,16,36,141,2,118,5,44,5,0,382,1,0
com.eteks.sweethome3d.viewcontroller.RoomController,class,16,23,7,16,94,2,0,68,119,0.8505943,0.0,0.0,31,2,28,2,1,0,29,0,0,0,19,0,0,19,0,0,6,0,1,456,13,13,41,0,0,3,12,78,0,67,4,2,4,0,128,1,0
com.gbshape.dbe.sapdb.SapdbTableList,class,4,5,1,4,7,1,0,11,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,38,1,1,1,2,0,4,0,8,0,7,3,0,0,0,41,1,0
com.gbshape.dbe.utils.DBEHelper,class,12,58,46,12,122,1,0,78,465,0.9677419,0.0,0.0,31,31,29,2,0,0,29,0,0,0,2,2,0,2,0,0,2,0,45,539,42,14,7,17,1,186,32,129,48,92,5,0,0,0,147,17,0
com.google.common.base.CharMatcher,class,36,73,37,36,109,50,26,40,1273,0.9607843,0.0,0.0,51,24,43,5,1,2,46,1,0,0,1,1,0,1,0,0,1,0,14,873,66,18,12,0,5,4,66,58,32,49,3,1,28,0,505,1025,0
com.google.common.base.Joiner,class,8,49,41,8,26,1,0,22,219,0.8181818,0.0,0.0,22,3,18,3,0,1,19,0,10,0,1,0,0,1,0,0,1,0,13,197,20,1,0,1,1,0,0,2,0,1,2,3,1,0,151,1,0
com.google.common.base.Objects,class,3,56,53,3,5,2,0,2,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,2,0,1,0,0,0,0,0,0,0,0,0,105,17,0
com.google.common.base.Predicates,class,23,62,39,23,27,2,0,15,253,0.0,0.0,0.0,23,22,18,4,0,1,19,0,0,0,0,0,0,0,0,0,0,0,15,357,22,2,1,0,1,2,0,4,0,3,2,0,11,0,209,17,0
com.google.common.base.SmallCharMatcher,class,6,8,2,6,21,4,0,9,1,0.6530613,0.0,0.0,7,3,1,2,0,4,5,0,0,0,7,4,0,6,0,1,7,0,5,84,10,5,9,0,4,0,27,24,12,18,3,0,0,0,89,16,0
com.google.common.base.Splitter,class,14,55,41,14,25,2,0,28,152,0.7625,0.0,0.0,20,7,16,4,0,0,16,0,0,0,4,0,0,4,0,0,4,0,20,242,19,1,2,0,0,5,5,6,0,6,1,5,3,0,339,17,0
com.google.common.base.Suppliers,class,13,17,4,13,10,1,0,0,21,0.0,0.0,0.0,7,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,180,7,0,0,0,0,2,0,1,0,1,1,0,8,0,154,17,0
com.google.common.base.Utf8,class,5,6,1,5,39,1,0,8,21,0.0,0.0,0.0,7,6,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,100,13,6,5,0,12,2,34,18,15,14,4,0,0,0,165,17,0
com.google.common.cache.CacheBuilderSpec,class,28,44,16,28,30,8,0,37,37,0.7411763,0.0,0.0,10,4,6,3,0,1,7,0,0,0,17,3,0,4,0,13,4,0,31,249,11,1,14,0,2,17,4,11,0,24,2,0,14,0,218,17,0
com.google.common.math.BigIntegerMath,class,12,13,1,12,77,2,0,45,120,0.9375,0.0,0.0,16,15,10,3,0,3,13,0,0,0,4,4,0,2,0,2,4,0,52,262,32,5,4,0,10,11,60,73,39,49,3,0,1,0,239,17,0
com.google.common.util.concurrent.Monitor,class,7,11,4,7,136,1,0,46,503,0.76,0.0,0.0,50,3,39,11,0,0,39,0,0,0,3,0,0,3,0,0,2,0,26,550,46,10,24,23,13,19,18,88,4,53,6,1,1,0,425,17,0
com.google.javascript.jscomp.CheckGlobalThis,class,9,10,1,9,40,1,0,28,0,0.5,0.0,0.0,4,0,2,1,0,1,3,0,0,0,3,1,0,2,0,1,2,0,0,77,10,0,17,0,2,5,0,15,0,13,5,0,0,0,129,16,0
com.google.javascript.jscomp.CollapseProperties,class,18,20,2,18,164,1,0,135,138,0.8520408,0.0,0.0,28,2,1,25,0,2,3,0,0,0,7,3,0,4,0,3,6,0,14,482,22,16,41,0,4,15,14,98,8,86,4,0,0,0,434,0,0
com.google.javascript.jscomp.ControlFlowAnalysis,class,15,17,2,15,248,3,0,93,714,0.9291666,0.0,0.0,40,13,6,25,0,9,15,0,0,0,12,0,0,12,0,0,6,0,62,698,76,17,54,0,2,4,5,76,0,58,4,0,1,2,294,17,0
