class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Newzgrabber.Downloader,class,12,18,6,12,158,1,0,54,136,0.8923077,0.0,0.0,20,0,18,2,0,0,18,0,0,0,26,5,1,21,4,0,3,0,11,426,13,8,40,11,2,107,46,85,41,55,9,0,0,0,170,1,0
bible.obj.Verse,class,9,15,6,9,30,1,0,32,93,0.84444445,0.0,0.0,15,6,11,4,0,0,11,0,0,0,6,3,0,6,0,0,1,0,16,137,12,2,6,3,4,36,7,32,8,22,2,0,0,0,79,1,0
bierse.model.Drink,class,8,18,10,8,67,1,0,34,682,0.8994709,0.0,0.0,45,1,45,0,0,0,45,0,0,1,21,2,2,18,0,1,2,0,20,329,27,0,5,2,8,34,26,97,35,49,3,0,0,0,165,1,13
com.allenstudio.ir.util.XmlElement,class,1,7,6,1,72,2,0,45,106,0.70000005,0.0,0.0,36,1,35,1,0,0,35,0,0,0,5,0,0,0,0,5,0,0,1,257,26,6,22,1,21,8,19,60,11,30,3,0,0,0,214,1,0
com.densebrain.rif.server.transport.WebServiceDescriptor,class,1,4,3,1,16,1,0,2,4,0.59259266,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,0,0,0,0,2,0,0,0,44,10,0,7,0,2,0,3,10,2,6,2,0,0,0,28,1,0
com.gbshape.dbe.utils.DBEHelper,class,12,58,46,12,122,1,0,78,465,0.9677419,0.0,0.0,31,31,29,2,0,0,29,0,0,0,2,2,0,2,0,0,2,0,45,539,42,14,7,17,1,186,32,129,48,92,5,0,0,0,147,17,0
com.google.common.base.SmallCharMatcher,class,6,8,2,6,21,4,0,9,1,0.6530613,0.0,0.0,7,3,1,2,0,4,5,0,0,0,7,4,0,6,0,1,7,0,5,84,10,5,9,0,4,0,27,24,12,18,3,0,0,0,89,16,0
com.google.common.base.Splitter,class,14,55,41,14,25,2,0,28,152,0.7625,0.0,0.0,20,7,16,4,0,0,16,0,0,0,4,0,0,4,0,0,4,0,20,242,19,1,2,0,0,5,5,6,0,6,1,5,3,0,339,17,0
com.google.common.base.Suppliers,class,13,17,4,13,10,1,0,0,21,0.0,0.0,0.0,7,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,180,7,0,0,0,0,2,0,1,0,1,1,0,8,0,154,17,0
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,class,9,10,1,9,66,1,0,75,1378,0.9811321,0.0,0.0,53,0,53,0,0,0,53,0,0,0,1,0,0,1,0,0,0,0,0,227,31,0,13,0,0,26,0,15,0,15,1,0,0,0,89,1,0
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,class,10,14,4,10,46,1,0,20,157,0.84189725,0.0,0.0,23,3,23,0,0,0,24,0,0,2,11,1,0,11,0,0,0,0,0,172,18,0,21,0,11,42,4,42,0,15,1,0,0,0,65,1,0
com.soops.CEN4010.JMCA.JParser.JavaCharStream,class,3,8,5,3,99,1,0,14,99,0.77798873,0.0,0.0,31,1,25,0,5,1,31,0,1,0,17,1,2,0,12,3,1,0,16,350,35,4,19,4,19,3,111,114,52,31,5,0,0,0,108,1,0
com.soops.CEN4010.JMCA.JParser.JavaParser,class,12,18,6,12,3301,3,0,471,95300,0.9725393,0.0,0.0,465,1,121,344,0,0,121,0,455,0,11,0,3,5,0,3,1,0,0,10731,899,91,150,151,140,18,326,866,2,360,16,0,2,0,559,1,0
com.werken.saxpath.XPathLexer,class,2,7,5,2,172,1,0,45,0,0.75,0.0,0.0,44,0,3,0,0,41,44,0,0,0,4,0,0,4,0,0,0,0,2,571,40,5,21,0,18,0,65,90,32,39,3,0,0,0,66,0,0
com.yahoo.platform.yui.compressor.ScriptOrFnScope,class,3,8,5,3,28,1,0,18,21,0.77922076,0.0,0.0,11,0,0,2,0,9,9,0,0,0,7,0,0,7,0,0,0,0,0,121,8,4,12,0,0,2,12,28,0,21,4,0,0,0,62,0,0
de.huxhorn.lilith.data.access.AccessEvent,class,2,72,70,2,60,1,0,11,380,0.8901516,0.0,0.0,33,0,33,0,0,0,33,0,0,0,16,1,0,16,0,0,1,0,0,159,33,0,39,0,11,5,22,30,22,19,1,0,0,0,57,1,0
de.outstare.fortbattleplayer.model.impl.SimpleSector,class,10,24,14,10,51,1,0,17,141,0.8181818,0.0,0.0,22,0,16,2,4,0,20,0,0,0,12,0,0,12,0,0,10,0,0,172,29,2,19,0,8,1,17,35,20,21,3,0,0,0,71,1,0
framework.util.StringUtils,class,7,26,19,7,75,1,0,59,561,0.9705882,0.0,0.0,34,33,33,0,1,0,34,0,0,0,8,8,0,8,0,0,7,0,36,232,43,11,18,1,4,29,17,77,9,59,4,0,0,0,260,17,2
framework.util.jdbc.JDBCUtils,class,7,18,11,7,91,1,0,85,476,0.9598214,0.0,0.0,32,31,23,7,2,0,25,0,0,1,7,7,0,7,0,0,5,0,42,311,35,5,17,0,5,82,19,106,25,78,4,0,0,0,261,17,12
glengineer.blocks.Block,class,7,20,13,7,22,2,2,10,25,0.45454547,0.0,0.0,11,0,11,0,0,0,11,3,0,0,1,0,0,0,1,0,0,0,1,61,5,1,1,2,0,20,5,20,9,8,1,0,0,0,113,1025,0
gnu.trove.decorator.TDoubleShortMapDecorator,class,3,7,4,3,31,2,0,28,61,0.71052635,0.0,0.0,19,0,15,0,4,0,19,0,0,0,2,1,0,0,1,1,1,0,2,197,19,1,9,0,2,0,4,17,0,12,2,1,0,0,157,1,0
gnu.trove.decorator.TShortByteMapDecorator,class,3,7,4,3,31,2,0,28,61,0.71052635,0.0,0.0,19,0,15,0,4,0,19,0,0,0,2,1,0,0,1,1,1,0,2,197,19,1,9,0,2,0,4,17,0,12,2,1,0,0,157,1,0
gnu.trove.list.linked.TDoubleLinkedList,class,11,14,3,11,194,1,0,57,2067,0.8266667,0.0,0.0,75,5,68,3,0,4,72,0,0,0,4,0,0,0,0,4,0,0,38,666,79,45,19,0,7,21,45,166,28,109,3,1,2,0,167,1,0
gnu.trove.map.hash.TByteFloatHashMap,class,21,27,6,21,93,5,0,52,360,0.7375,0.0,0.0,40,0,36,1,3,0,39,0,0,0,2,1,0,0,1,1,1,0,10,800,34,17,21,1,6,2,38,109,4,81,3,1,5,0,178,1,0
ipac.BinaryCalculate,class,3,7,4,3,62,1,0,28,7,0.6590909,0.0,0.0,11,0,4,7,0,0,4,0,0,0,12,0,0,0,0,12,0,0,15,281,8,12,19,1,3,93,91,174,76,62,5,0,0,0,253,1,0
jcmdline.HelpCmdLineHandler,class,10,21,11,10,28,2,0,13,0,0.5641026,0.0,0.0,13,0,12,0,1,0,13,0,0,0,6,0,0,6,0,0,0,0,11,91,1,0,8,0,0,11,7,12,3,10,4,0,0,0,224,1,0
jipa.Main,class,4,5,1,4,78,1,0,40,54,0.77777773,0.0,0.0,12,12,12,0,0,0,12,0,0,0,3,3,3,0,0,0,0,0,93,241,19,8,18,2,2,6,110,55,18,26,4,0,1,0,84,1,0
lotus.core.Game,class,8,19,11,8,17,1,0,8,4,0.6666667,0.0,0.0,5,5,5,0,0,0,5,0,0,0,6,6,6,0,0,0,0,0,5,50,5,3,2,0,0,0,2,15,0,8,2,0,0,0,34,1,0
net.kencochrane.a4j.file.FileUtil,class,4,8,4,4,106,1,0,40,208,0.76,0.0,0.0,25,0,25,0,0,0,25,0,0,0,2,0,0,0,2,0,0,0,7,613,70,0,24,19,0,51,11,160,27,132,4,0,0,0,90,1,0
net.sf.javaml.core.AbstractInstance,class,5,9,4,5,30,1,2,5,112,0.86764705,0.0,0.0,17,0,15,0,2,0,17,0,0,0,4,2,0,3,0,1,2,0,1,113,18,9,4,0,0,0,11,24,8,23,1,0,1,0,43,1025,0
net.sf.javaml.core.DenseInstance,class,4,15,11,4,38,2,0,18,0,0.6041667,0.0,0.0,24,0,23,1,0,0,23,0,0,0,2,1,0,2,0,0,1,0,6,117,21,6,3,0,1,4,15,27,8,19,3,0,0,0,104,1,0
net.sf.javaml.core.Fold,class,8,11,3,8,35,1,0,11,456,0.84375,0.0,0.0,32,0,32,0,0,0,32,0,0,0,2,0,0,2,0,0,0,0,0,149,14,3,0,0,0,18,1,7,0,6,1,0,1,0,63,0,0
net.sf.javaml.core.SparseInstance,class,4,10,6,4,47,2,0,31,0,0.67741936,0.0,0.0,31,0,30,1,0,0,30,0,0,0,4,1,0,4,0,0,1,0,6,153,25,3,9,0,4,3,20,25,9,16,2,0,0,0,80,1,0
net.sf.sugar.fspath.FSPathResult,class,0,13,13,0,19,1,0,5,42,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,6,0,0,6,0,0,0,0,0,65,13,0,6,0,0,1,0,6,0,6,1,0,0,0,62,1,0
org.apache.commons.collections4.list.TreeList,class,5,7,2,5,25,3,0,15,0,0.375,0.0,0.0,16,0,15,1,0,0,15,0,0,0,2,0,0,2,0,0,0,0,0,564,13,0,4,0,0,2,13,15,4,7,1,0,2,0,196,1,0
org.apache.commons.lang3.ArrayUtils,class,18,40,22,18,1117,1,0,232,60170,0.98591876,0.0,0.0,361,360,356,3,0,2,358,0,0,0,24,24,24,0,0,0,24,0,558,3454,606,125,296,1,12,51,580,623,201,387,3,0,0,0,547,1,0
org.apache.commons.lang3.ClassUtils,class,7,20,13,7,175,1,0,88,1421,0.97530866,0.0,0.0,54,53,50,4,0,0,54,0,0,0,9,9,4,5,0,0,9,0,54,609,103,19,57,4,0,40,42,81,13,54,3,2,1,2,516,1,0
org.apache.commons.lang3.builder.CompareToBuilder,class,12,13,1,12,140,1,0,49,3,0.29032257,0.0,0.0,31,6,29,2,0,0,29,0,0,0,1,0,0,1,0,0,0,0,21,410,88,11,73,1,1,6,81,59,0,17,3,0,0,0,243,1,0
org.apache.commons.lang3.builder.HashCodeBuilder,class,15,17,2,15,82,1,0,56,160,0.7222222,0.0,0.0,36,11,30,4,0,2,32,0,0,0,5,3,0,5,0,0,4,0,23,278,31,11,17,2,5,5,12,36,31,12,4,0,0,0,294,1,0
org.apache.commons.lang3.text.StrBuilder,class,10,17,7,10,410,4,0,86,4662,0.8322148,0.0,0.0,149,0,144,3,2,0,146,0,0,0,6,2,0,3,2,1,2,0,43,1385,210,37,89,0,27,20,222,210,116,126,4,0,3,0,553,1,0
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,class,4,5,1,4,27,2,0,12,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,7,65,6,1,8,1,3,1,18,12,7,9,3,0,1,0,109,1,0
org.apache.commons.lang3.time.DateUtils,class,6,7,1,6,169,1,0,47,1828,0.98087424,0.0,0.0,61,60,53,8,0,0,53,0,0,0,12,12,11,1,0,0,12,0,91,552,64,5,59,1,7,15,63,89,26,52,6,0,2,0,441,1,0
org.apache.commons.lang3.time.DurationFormatUtils,class,3,5,2,3,77,1,0,34,58,0.8229167,0.0,0.0,12,11,9,1,0,2,11,0,0,0,8,8,1,0,0,7,8,0,37,365,11,12,16,0,4,31,53,120,28,42,4,0,1,0,276,1,0
org.apache.commons.lang3.time.FastDateFormat,class,7,10,3,7,42,2,0,29,218,0.8780488,0.0,0.0,41,17,38,0,3,0,41,0,0,0,8,6,4,4,0,0,8,0,1,143,40,0,0,0,1,4,1,9,1,9,1,1,0,0,244,1,0
org.apache.commons.math3.distribution.HypergeometricDistribution,class,9,10,1,9,33,2,0,14,121,0.8245614,0.0,0.0,19,0,14,4,1,0,15,0,0,0,6,1,0,6,0,0,4,0,3,131,17,1,2,0,8,0,22,31,19,22,1,0,0,0,174,1,0
org.apache.commons.math3.fraction.Fraction,class,6,10,4,6,79,2,0,23,163,0.9354838,0.0,0.0,31,1,29,2,0,0,29,0,0,0,18,16,14,4,0,0,18,0,9,275,33,1,26,0,15,2,73,81,30,50,3,0,0,0,260,1,0
org.apache.commons.math3.geometry.euclidean.threed.Rotation,class,9,14,5,9,127,1,0,32,128,0.6458333,0.0,0.0,32,2,28,4,0,0,28,0,0,0,6,2,1,5,0,0,6,0,8,529,49,1,35,0,141,0,393,238,472,150,3,0,0,0,577,1,0
org.apache.commons.math3.linear.MatrixUtils,class,38,71,33,38,120,3,0,47,666,1.0,0.0,0.0,37,36,35,2,0,0,35,0,0,0,2,2,2,0,0,0,2,0,20,424,24,22,36,2,19,6,74,92,23,89,4,0,2,0,337,1,0
org.apache.commons.math3.optimization.linear.SimplexTableau,class,12,14,2,12,87,1,0,66,204,0.84375,0.0,0.0,32,1,3,5,21,3,27,0,13,0,14,4,0,14,0,0,12,0,10,277,28,17,23,0,14,9,80,68,34,58,3,0,0,0,293,0,0
org.apache.commons.math3.util.MathUtils,class,8,46,38,8,49,1,0,9,120,0.96875,0.0,0.0,16,15,15,1,0,0,15,0,0,0,2,2,2,0,0,0,2,0,8,95,15,1,6,0,10,0,24,5,12,5,2,0,0,0,163,17,0
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,class,6,12,6,6,22,1,0,7,20,0.72307694,0.0,0.0,13,0,13,0,0,0,13,0,0,0,5,0,0,5,0,0,2,0,1,62,11,0,4,0,1,5,9,12,3,5,1,0,0,0,61,1,0
org.databene.jdbacl.DBUtil,class,39,73,34,39,141,1,0,138,1413,0.9506173,0.0,0.0,54,53,50,3,1,0,51,0,0,0,3,3,0,3,0,0,3,0,94,462,53,11,29,19,6,58,34,109,23,78,9,0,0,0,236,1,9
org.firebirdsql.jdbc.FBProcedureCall,class,4,11,7,4,62,2,0,33,0,0.58823526,0.0,0.0,17,0,16,1,0,0,16,0,0,0,4,1,1,3,0,0,1,0,2,154,18,5,18,1,4,9,28,36,17,21,3,0,1,0,170,1,0
org.javathena.login.UserManagement,class,19,29,10,19,224,1,0,213,1891,0.92297983,0.0,0.0,66,65,59,7,0,0,60,0,0,8,12,12,0,12,0,0,0,0,332,992,55,15,67,5,24,104,445,259,94,172,5,0,0,0,259,1,0
org.jcvi.jillion.assembly.ca.frg.Distance,class,1,13,12,1,23,1,0,11,0,0.60952383,0.0,0.0,15,7,11,4,0,0,11,0,0,0,6,3,0,6,0,0,6,0,13,95,22,0,6,0,5,1,7,22,18,18,1,0,0,0,121,17,0
org.jdom2.output.SAXOutputter,class,26,34,8,26,69,3,0,27,434,0.8525799,0.0,0.0,37,0,35,2,0,0,35,0,1,0,11,1,0,11,0,0,1,0,3,227,19,0,10,1,12,1,0,33,1,15,3,0,1,0,316,1,1
org.jdom2.output.XMLOutputter,class,13,40,27,13,61,3,0,32,140,0.6515152,0.0,0.0,44,1,43,1,0,0,43,0,30,0,3,1,0,3,0,0,1,0,11,264,17,1,2,11,1,20,0,18,2,14,2,0,1,0,326,17,0
org.jdom2.transform.JDOMResult,class,10,15,5,10,21,4,0,14,23,0.7,0.0,0.0,10,0,9,1,0,0,9,0,0,0,5,1,1,4,0,0,1,0,1,183,4,1,10,1,4,0,2,28,0,11,4,0,2,0,197,1,0
org.jfree.chart.axis.Axis,class,14,47,33,14,159,1,2,80,2442,0.9539271,0.0,0.0,77,0,63,2,12,0,75,4,0,0,42,16,15,27,0,0,16,0,10,667,76,1,43,0,4,21,42,170,54,113,2,0,0,0,371,1025,0
