class,label,magnitude
com.eteks.sweethome3d.SweetHome3D,-1,medium
com.google.common.base.Splitter,-1,large
com.google.common.base.Suppliers,-1,large
com.google.javascript.jscomp.ReferenceCollectingCallback,1,large
com.google.javascript.jscomp.parsing.JsDocInfoParser,-1,large
com.mentorgen.tools.profile.runtime.Profile,-1,large
com.werken.saxpath.XPathLexer,-1,large
de.outstare.fortbattleplayer.model.impl.SimpleSector,-1,medium
de.outstare.fortbattleplayer.statistics.BattleStatistics,-1,large
de.progra.charting.CoordSystemUtilities,-1,large
ghm.follow.search.SearchableTextPane,-1,large
jahuwaldt.plot.PlotAxis,-1,large
jipa.Variable,1,large
net.kencochrane.a4j.file.FileUtil,-1,large
net.sourceforge.ext4j.taglib.bo.Request,-1,large
net.sourceforge.schemaspy.model.Table,-1,medium
org.apache.commons.collections4.list.TreeList,1,large
org.apache.commons.lang3.BooleanUtils,-1,large
org.apache.commons.lang3.LocaleUtils,-1,large
org.apache.commons.lang3.builder.HashCodeBuilder,1,large
org.apache.commons.lang3.time.DateUtils,-1,large
org.apache.commons.lang3.time.DurationFormatUtils,-1,large
org.apache.commons.math3.fraction.ProperFractionFormat,-1,large
org.apache.commons.math3.linear.SchurTransformer,1,large
org.jfree.data.time.TimeSeries,-1,large
org.joda.time.Partial,-1,medium
org.joda.time.Period,-1,medium
org.joda.time.chrono.BasicMonthOfYearDateTimeField,1,large
org.joda.time.format.DateTimeFormatter,1,large
teder.TederFrame,-1,negligible
twitter4j.TwitterImpl,-1,large
umd.cs.shop.JSJshop,1,large
umd.cs.shop.JSState,-1,large
