class,label,magnitude
Newzgrabber.Downloader,-1,large
accessories.plugins.time.JDayChooser,1,large
bcry.battlecryGUI,1,large
com.eteks.sweethome3d.SweetHome3D,1,large
com.eteks.sweethome3d.viewcontroller.HomeController,1,large
com.google.common.base.CharMatcher,1,large
com.google.common.base.Suppliers,1,large
com.google.common.base.Utf8,1,large
com.jstevh.viewer.ClassViewer,1,large
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,1,large
com.lts.io.DirectoryScanner,1,large
com.pmdesigns.jvc.tools.JVCParserTokenManager,1,large
com.soops.CEN4010.JMCA.JMCAAnalyzer,1,large
com.soops.CEN4010.JMCA.JParser.JavaCharStream,1,large
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,1,large
com.werken.saxpath.XPathLexer,1,large
de.progra.charting.CoordSystemUtilities,1,large
de.progra.charting.DefaultChart,1,medium
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,1,large
fr.unice.gfarce.interGraph.ModifTableStockage,1,large
framework.util.StringUtils,1,large
glengineer.agents.GroupAgent,1,large
gnu.trove.impl.hash.TShortHash,-1,small
gnu.trove.list.linked.TDoubleLinkedList,1,large
gnu.trove.map.hash.TByteObjectHashMap,1,large
gnu.trove.map.hash.TFloatObjectHashMap,1,large
ipac.WhoIS,1,large
jipa.Main,1,large
mindbright.ssh.SSHSCPGUIThread,1,large
net.sourceforge.ext4j.taglib.bo.Request,1,large
nu.staldal.lagoon.LagoonCLI,1,large
nu.staldal.lagoon.LagoonGUI,1,large
org.apache.commons.cli.HelpFormatter,1,large
org.apache.commons.codec.language.DoubleMetaphone,1,large
org.apache.commons.lang3.BooleanUtils,1,large
org.apache.commons.lang3.ClassUtils,1,medium
org.apache.commons.lang3.Conversion,1,large
org.apache.commons.lang3.LocaleUtils,1,large
org.apache.commons.lang3.builder.HashCodeBuilder,1,large
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,1,medium
org.apache.commons.lang3.time.DateUtils,1,large
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,1,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,1,large
org.apache.commons.math3.linear.MatrixUtils,1,large
org.apache.commons.math3.linear.SchurTransformer,1,medium
org.javathena.login.Login,1,large
org.jdom2.Verifier,1,large
org.jfree.chart.axis.Axis,1,large
org.joda.time.DateTimeZone,-1,large
org.joda.time.MutableDateTime,-1,large
org.joda.time.Partial,1,large
org.joda.time.format.DateTimeFormatterBuilder,1,large
org.joda.time.format.PeriodFormatterBuilder,1,large
org.jsecurity.util.AntPathMatcher,1,large
org.mozilla.javascript.Parser,1,large
org.objectweb.asm.jip.ClassReader,1,large
org.objectweb.asm.jip.MethodWriter,1,large
org.quickserver.net.server.impl.NonBlockingClientHandler,1,large
org.scribe.model.Response,1,large
org.tartarus.snowball.ext.italianStemmer,1,large
org.tartarus.snowball.ext.turkishStemmer,1,large
server.ServerGameModel,1,large
twitter4j.TwitterBaseImpl,1,large
twitter4j.TwitterImpl,1,large
umd.cs.shop.JSJshop,-1,large
umd.cs.shop.JSPredicateForm,1,large
umd.cs.shop.JSTerm,1,large
weka.classifiers.Evaluation,1,large
weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1,large
wheel.asm.ClassReader,1,medium
