class,label,magnitude
Newzgrabber.Downloader,1,large
bible.obj.Verse,1,large
bierse.model.Drink,1,large
com.allenstudio.ir.util.XmlElement,1,large
com.densebrain.rif.server.transport.WebServiceDescriptor,1,large
com.gbshape.dbe.utils.DBEHelper,1,large
com.google.common.base.SmallCharMatcher,1,large
com.google.common.base.Splitter,1,large
com.google.common.base.Suppliers,1,large
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,1,large
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,1,large
com.soops.CEN4010.JMCA.JParser.JavaCharStream,1,large
com.soops.CEN4010.JMCA.JParser.JavaParser,1,medium
com.werken.saxpath.XPathLexer,1,large
com.yahoo.platform.yui.compressor.ScriptOrFnScope,1,large
de.huxhorn.lilith.data.access.AccessEvent,1,large
de.outstare.fortbattleplayer.model.impl.SimpleSector,-1,large
framework.util.StringUtils,1,large
framework.util.jdbc.JDBCUtils,-1,large
glengineer.blocks.Block,1,large
gnu.trove.decorator.TDoubleShortMapDecorator,1,large
gnu.trove.decorator.TShortByteMapDecorator,1,large
gnu.trove.list.linked.TDoubleLinkedList,1,large
gnu.trove.map.hash.TByteFloatHashMap,1,large
ipac.BinaryCalculate,1,large
jahuwaldt.plot.PlotAxis,1,small
jcmdline.HelpCmdLineHandler,1,large
jipa.Main,-1,medium
lotus.core.Game,1,large
net.kencochrane.a4j.file.FileUtil,1,large
net.sf.javaml.core.AbstractInstance,1,large
net.sf.javaml.core.DenseInstance,1,large
net.sf.javaml.core.Fold,1,large
net.sf.javaml.core.SparseInstance,1,large
net.sf.sugar.fspath.FSPathResult,1,large
org.apache.commons.collections4.list.TreeList,1,large
org.apache.commons.lang3.ArrayUtils,1,large
org.apache.commons.lang3.ClassUtils,1,large
org.apache.commons.lang3.builder.CompareToBuilder,1,large
org.apache.commons.lang3.builder.HashCodeBuilder,1,large
org.apache.commons.lang3.text.StrBuilder,1,large
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,1,large
org.apache.commons.lang3.time.DateUtils,1,large
org.apache.commons.lang3.time.DurationFormatUtils,1,large
org.apache.commons.lang3.time.FastDateFormat,1,large
org.apache.commons.math3.distribution.HypergeometricDistribution,1,large
org.apache.commons.math3.fraction.Fraction,1,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,1,large
org.apache.commons.math3.linear.MatrixUtils,1,large
org.apache.commons.math3.optimization.linear.SimplexTableau,1,large
org.apache.commons.math3.util.MathUtils,1,large
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,1,large
org.databene.jdbacl.DBUtil,1,large
org.firebirdsql.jdbc.FBProcedureCall,1,large
org.javathena.login.UserManagement,1,large
org.jcvi.jillion.assembly.ca.frg.Distance,1,large
org.jdom2.output.SAXOutputter,1,large
org.jdom2.output.XMLOutputter,1,large
org.jdom2.transform.JDOMResult,1,large
org.jfree.chart.axis.Axis,1,large
org.jfree.chart.plot.ValueMarker,1,large
org.jfree.data.category.DefaultIntervalCategoryDataset,1,large
org.jfree.data.time.TimePeriodValues,1,large
org.joda.time.MutablePeriod,1,large
org.joda.time.Partial,1,large
org.joda.time.Period,1,large
org.joda.time.base.BasePeriod,1,large
org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,1,large
org.objectweb.asm.jip.MethodWriter,1,medium
org.petsoar.order.CreditCardInfo,1,large
org.quickserver.net.client.monitoring.HostMonitoringService,1,large
org.scribe.model.OAuthRequest,1,large
org.scribe.model.Request,1,large
org.scribe.model.Verifier,1,large
twitter4j.OEmbedRequest,-1,large
twitter4j.TwitterImpl,-1,large
uk.me.jockmacmad.jstate.state.Transition,1,large
umd.cs.shop.JSJshop,1,large
umd.cs.shop.JSState,-1,large
visu.handball.moves.xml.HandballModelReader,1,large
weka.core.Memory,1,large
