class,label,magnitude
Joshua.FoxHunt.HuntDisplay,-1,large
accessories.plugins.time.JDayChooser,1,large
bible.obj.Verse,-1,large
bible.util.Queue,-1,large
bierse.controller.DefaultSettingsController,-1,medium
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,-1,large
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,-1,large
com.eteks.sweethome3d.SweetHome3D,-1,medium
com.google.common.base.Joiner,-1,large
com.google.common.base.Predicates,-1,large
com.google.common.base.SmallCharMatcher,-1,large
com.google.common.base.Splitter,-1,large
com.google.common.base.Utf8,-1,large
com.google.common.math.BigIntegerMath,-1,large
com.ib.client.ComboLeg,-1,large
com.jstevh.viewer.ClassInfo,-1,large
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,-1,large
com.lts.event.SimpleKeyListenerHelper,-1,large
com.lts.io.DirectoryScanner,1,large
com.lts.swing.combobox.SimpleComboBox,-1,large
com.mentorgen.tools.profile.runtime.Profile,-1,large
com.puppycrawl.tools.checkstyle.api.FileText,-1,large
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,-1,large
com.soops.CEN4010.JMCA.JParser.JavaParser,1,large
com.werken.saxpath.XPathLexer,-1,large
com.yahoo.platform.yui.compressor.ScriptOrFnScope,-1,large
com.yahoo.platform.yui.compressor.YUICompressor,-1,large
de.devcity.parseargs.ArgsParser,1,large
de.paragon.explorer.model.AttributeModelComparator,-1,large
de.progra.charting.CoordSystemUtilities,-1,large
de.progra.charting.DefaultChart,-1,large
fr.pingtimeout.jtail.gui.action.IndexFileAction,-1,large
framework.util.StringUtils,-1,large
freemind.extensions.ExportHook,-1,large
glengineer.blocks.Block,-1,large
gnu.trove.impl.hash.TCharHash,-1,large
gnu.trove.impl.hash.TFloatCharHash,-1,large
httpanalyzer.Password,-1,large
ipac.BinaryCalculate,1,large
jahuwaldt.plot.PlotAxis,-1,medium
jaw.entrada.Abrir,-1,large
jaw.entrada.Salvar,-1,large
lotus.core.Game,-1,large
net.kencochrane.a4j.file.FileUtil,1,large
net.sf.javaml.core.AbstractInstance,-1,large
net.sf.javaml.core.DefaultDataset,-1,large
net.sf.javaml.core.Fold,-1,large
net.sf.javaml.core.SparseInstance,-1,large
net.sf.lavalamp.device.TimeOfDay,-1,large
net.sf.xbus.base.core.MessageHandler,-1,large
net.sourceforge.jwbf.mediawiki.actions.editing.MovePage,-1,large
org.apache.commons.cli.Option,-1,large
org.apache.commons.collections4.list.TreeList,-1,large
org.apache.commons.collections4.sequence.SequencesComparator,-1,large
org.apache.commons.lang3.Conversion,-1,large
org.apache.commons.lang3.LocaleUtils,1,large
org.apache.commons.lang3.Validate,-1,large
org.apache.commons.lang3.builder.CompareToBuilder,-1,large
org.apache.commons.lang3.builder.HashCodeBuilder,1,large
org.apache.commons.lang3.time.DateUtils,-1,large
org.apache.commons.lang3.time.DurationFormatUtils,-1,large
org.apache.commons.lang3.time.FastDateFormat,-1,large
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,1,medium
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,-1,large
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,-1,large
org.apache.commons.math3.optim.univariate.BrentOptimizer,-1,large
org.apache.commons.math3.util.MathUtils,-1,large
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,-1,large
org.exolab.jms.net.socket.SocketRequestInfo,-1,large
org.firebirdsql.jdbc.FBProcedureCall,-1,large
org.fixsuite.message.view.TreeView,-1,large
org.javathena.login.UserManagement,-1,large
org.javathena.login.parse.FromClient,-1,large
org.jdom2.output.XMLOutputter,-1,large
org.jdom2.util.NamespaceStack,-1,large
org.jfree.chart.renderer.GrayPaintScale,-1,large
org.jfree.data.category.DefaultIntervalCategoryDataset,-1,large
org.jfree.data.time.TimeSeries,-1,large
org.joda.time.DateTimeZone,-1,large
org.joda.time.MutableDateTime,-1,large
org.joda.time.Period,-1,large
org.joda.time.chrono.BasicMonthOfYearDateTimeField,-1,medium
org.joda.time.format.DateTimeFormatter,-1,large
org.jsecurity.util.AntPathMatcher,1,large
org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,-1,large
org.objectweb.asm.jip.commons.LocalVariablesSorter,-1,large
org.quickserver.util.xmlreader.QuickServerConfig,-1,large
org.scribe.model.Request,-1,large
org.scribe.model.Verifier,-1,large
org.tartarus.snowball.ext.italianStemmer,-1,medium
simulator.CA.ConsumerAgent,-1,large
src.Purchase,-1,large
src.VassalRebellion,-1,large
twitter4j.OEmbedRequest,-1,large
twitter4j.TwitterBaseImpl,1,large
uk.me.jockmacmad.jstate.state.Transition,-1,large
visu.handball.moves.actions.CreateMovePdfAction,-1,large
visu.handball.moves.xml.HandballModelReader,-1,large
