class,A_size,magnitude
com.eteks.sweethome3d.SweetHome3D,0.275,medium
com.google.common.base.CharMatcher,0.3,medium
com.google.common.base.Splitter,0.72,medium
com.google.javascript.jscomp.ControlFlowAnalysis,0.795,large
com.google.javascript.jscomp.ExploitAssigns,0.7,medium
com.mentorgen.tools.profile.runtime.Profile,0.94,large
com.pmdesigns.jvc.tools.TokenMgrError,0.19,large
gnu.trove.map.hash.TFloatObjectHashMap,0.765,large
jahuwaldt.plot.PlotAxis,0.94,large
net.kencochrane.a4j.file.FileUtil,0.27,medium
org.apache.commons.lang3.ArrayUtils,0.845,large
org.apache.commons.lang3.BooleanUtils,0.79,large
org.apache.commons.lang3.ClassUtils,0.865,large
org.apache.commons.lang3.LocaleUtils,0.77,large
org.apache.commons.lang3.builder.HashCodeBuilder,0.035,large
org.apache.commons.math3.analysis.FunctionUtils,0.25,large
org.apache.commons.math3.fraction.ProperFractionFormat,1.0,large
org.apache.commons.math3.linear.MatrixUtils,0.25,large
org.apache.commons.math3.linear.SchurTransformer,0.185,large
org.javathena.login.UserManagement,0.235,large
org.jfree.chart.plot.XYPlot,0.85,large
org.jfree.data.time.TimeSeries,0.91,large
org.joda.time.tz.ZoneInfoCompiler,0.145,large
org.znerd.xmlenc.XMLEncoder,0.17,large
twitter4j.TwitterImpl,1.0,large
