class,A_size,magnitude
Newzgrabber.Downloader,0.91,large
accessories.plugins.time.JDayChooser,0.17,large
bcry.battlecryGUI,0.15,large
com.eteks.sweethome3d.SweetHome3D,0.23,large
com.eteks.sweethome3d.viewcontroller.HomeController,0.08,large
com.google.common.base.CharMatcher,0.055,large
com.google.common.base.Suppliers,0.14,large
com.google.common.base.Utf8,0.095,large
com.jstevh.viewer.ClassViewer,0.25,large
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,0.2,large
com.lts.io.DirectoryScanner,0.125,large
com.pmdesigns.jvc.tools.JVCParserTokenManager,0.07,large
com.soops.CEN4010.JMCA.JMCAAnalyzer,0.15,large
com.soops.CEN4010.JMCA.JParser.JavaCharStream,0.23,large
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,0.26,large
com.werken.saxpath.XPathLexer,0.235,large
de.progra.charting.CoordSystemUtilities,0.24,large
de.progra.charting.DefaultChart,0.3,medium
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0.2,large
fr.unice.gfarce.interGraph.ModifTableStockage,0.095,large
framework.util.StringUtils,0.15,large
glengineer.agents.GroupAgent,0.105,large
gnu.trove.impl.hash.TShortHash,0.645,small
gnu.trove.list.linked.TDoubleLinkedList,0.09,large
gnu.trove.map.hash.TByteObjectHashMap,0.205,large
gnu.trove.map.hash.TFloatObjectHashMap,0.175,large
ipac.WhoIS,0.14,large
jipa.Main,0.105,large
mindbright.ssh.SSHSCPGUIThread,0.02,large
net.sourceforge.ext4j.taglib.bo.Request,0.25,large
nu.staldal.lagoon.LagoonCLI,0.075,large
nu.staldal.lagoon.LagoonGUI,0.15,large
org.apache.commons.cli.HelpFormatter,0.0,large
org.apache.commons.codec.language.DoubleMetaphone,0.035,large
org.apache.commons.lang3.BooleanUtils,0.07,large
org.apache.commons.lang3.ClassUtils,0.27,medium
org.apache.commons.lang3.Conversion,0.22,large
org.apache.commons.lang3.LocaleUtils,0.18,large
org.apache.commons.lang3.builder.HashCodeBuilder,0.0,large
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,0.3,medium
org.apache.commons.lang3.time.DateUtils,0.14,large
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,0.09,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,0.145,large
org.apache.commons.math3.linear.MatrixUtils,0.0,large
org.apache.commons.math3.linear.SchurTransformer,0.3,medium
org.javathena.login.Login,0.075,large
org.jdom2.Verifier,0.195,large
org.jfree.chart.axis.Axis,0.04,large
org.joda.time.DateTimeZone,0.98,large
org.joda.time.MutableDateTime,0.8,large
org.joda.time.Partial,0.2,large
org.joda.time.format.DateTimeFormatterBuilder,0.02,large
org.joda.time.format.PeriodFormatterBuilder,0.1,large
org.jsecurity.util.AntPathMatcher,0.195,large
org.mozilla.javascript.Parser,0.01,large
org.objectweb.asm.jip.ClassReader,0.165,large
org.objectweb.asm.jip.MethodWriter,0.06,large
org.quickserver.net.server.impl.NonBlockingClientHandler,0.12,large
org.scribe.model.Response,0.0,large
org.tartarus.snowball.ext.italianStemmer,0.205,large
org.tartarus.snowball.ext.turkishStemmer,0.125,large
server.ServerGameModel,0.05,large
twitter4j.TwitterBaseImpl,0.17,large
twitter4j.TwitterImpl,0.065,large
umd.cs.shop.JSJshop,0.85,large
umd.cs.shop.JSPredicateForm,0.215,large
umd.cs.shop.JSTerm,0.175,large
weka.classifiers.Evaluation,0.035,large
weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,0.26,large
wheel.asm.ClassReader,0.31,medium
