class,A_size,magnitude
Newzgrabber.Downloader,0.15,large
bible.obj.Verse,0.0,large
bierse.model.Drink,0.09,large
com.allenstudio.ir.util.XmlElement,0.06,large
com.densebrain.rif.server.transport.WebServiceDescriptor,0.12,large
com.gbshape.dbe.utils.DBEHelper,0.18,large
com.google.common.base.SmallCharMatcher,0.0,large
com.google.common.base.Splitter,0.175,large
com.google.common.base.Suppliers,0.175,large
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,0.0,large
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,0.16,large
com.soops.CEN4010.JMCA.JParser.JavaCharStream,0.155,large
com.soops.CEN4010.JMCA.JParser.JavaParser,0.33,medium
com.werken.saxpath.XPathLexer,0.18,large
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0.0,large
de.huxhorn.lilith.data.access.AccessEvent,0.0,large
de.outstare.fortbattleplayer.model.impl.SimpleSector,0.8,large
framework.util.StringUtils,0.035,large
framework.util.jdbc.JDBCUtils,0.775,large
glengineer.blocks.Block,0.11,large
gnu.trove.decorator.TDoubleShortMapDecorator,0.03,large
gnu.trove.decorator.TShortByteMapDecorator,0.06,large
gnu.trove.list.linked.TDoubleLinkedList,0.03,large
gnu.trove.map.hash.TByteFloatHashMap,0.145,large
ipac.BinaryCalculate,0.23,large
jahuwaldt.plot.PlotAxis,0.41,small
jcmdline.HelpCmdLineHandler,0.25,large
jipa.Main,0.735,medium
lotus.core.Game,0.02,large
net.kencochrane.a4j.file.FileUtil,0.08,large
net.sf.javaml.core.AbstractInstance,0.0,large
net.sf.javaml.core.DenseInstance,0.23,large
net.sf.javaml.core.Fold,0.12,large
net.sf.javaml.core.SparseInstance,0.185,large
net.sf.sugar.fspath.FSPathResult,0.08,large
org.apache.commons.collections4.list.TreeList,0.17,large
org.apache.commons.lang3.ArrayUtils,0.005,large
org.apache.commons.lang3.ClassUtils,0.17,large
org.apache.commons.lang3.builder.CompareToBuilder,0.0,large
org.apache.commons.lang3.builder.HashCodeBuilder,0.0,large
org.apache.commons.lang3.text.StrBuilder,0.065,large
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,0.22,large
org.apache.commons.lang3.time.DateUtils,0.03,large
org.apache.commons.lang3.time.DurationFormatUtils,0.235,large
org.apache.commons.lang3.time.FastDateFormat,0.0,large
org.apache.commons.math3.distribution.HypergeometricDistribution,0.01,large
org.apache.commons.math3.fraction.Fraction,0.21,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,0.11,large
org.apache.commons.math3.linear.MatrixUtils,0.22,large
org.apache.commons.math3.optimization.linear.SimplexTableau,0.05,large
org.apache.commons.math3.util.MathUtils,0.095,large
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,0.14,large
org.databene.jdbacl.DBUtil,0.235,large
org.firebirdsql.jdbc.FBProcedureCall,0.16,large
org.javathena.login.UserManagement,0.145,large
org.jcvi.jillion.assembly.ca.frg.Distance,0.08,large
org.jdom2.output.SAXOutputter,0.08,large
org.jdom2.output.XMLOutputter,0.0,large
org.jdom2.transform.JDOMResult,0.21,large
org.jfree.chart.axis.Axis,0.245,large
org.jfree.chart.plot.ValueMarker,0.26,large
org.jfree.data.category.DefaultIntervalCategoryDataset,0.135,large
org.jfree.data.time.TimePeriodValues,0.155,large
org.joda.time.MutablePeriod,0.0,large
org.joda.time.Partial,0.13,large
org.joda.time.Period,0.0,large
org.joda.time.base.BasePeriod,0.02,large
org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,0.19,large
org.objectweb.asm.jip.MethodWriter,0.27,medium
org.petsoar.order.CreditCardInfo,0.0,large
org.quickserver.net.client.monitoring.HostMonitoringService,0.015,large
org.scribe.model.OAuthRequest,0.0,large
org.scribe.model.Request,0.03,large
org.scribe.model.Verifier,0.2,large
twitter4j.OEmbedRequest,0.79,large
twitter4j.TwitterImpl,0.96,large
uk.me.jockmacmad.jstate.state.Transition,0.1,large
umd.cs.shop.JSJshop,0.17,large
umd.cs.shop.JSState,0.745,large
visu.handball.moves.xml.HandballModelReader,0.015,large
weka.core.Memory,0.105,large
