class,A_size,magnitude
Joshua.FoxHunt.HuntDisplay,0.14,large
accessories.plugins.time.JDayChooser,0.835,large
bible.obj.Verse,0.045,large
bible.util.Queue,0.21,large
bierse.controller.DefaultSettingsController,0.3,medium
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,0.2,large
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,0.0,large
com.eteks.sweethome3d.SweetHome3D,0.305,medium
com.google.common.base.Joiner,0.0,large
com.google.common.base.Predicates,0.185,large
com.google.common.base.SmallCharMatcher,0.16,large
com.google.common.base.Splitter,0.0,large
com.google.common.base.Utf8,0.125,large
com.google.common.math.BigIntegerMath,0.14,large
com.ib.client.ComboLeg,0.045,large
com.jstevh.viewer.ClassInfo,0.12,large
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,0.13,large
com.lts.event.SimpleKeyListenerHelper,0.11,large
com.lts.io.DirectoryScanner,0.815,large
com.lts.swing.combobox.SimpleComboBox,0.135,large
com.mentorgen.tools.profile.runtime.Profile,0.0,large
com.puppycrawl.tools.checkstyle.api.FileText,0.0,large
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,0.205,large
com.soops.CEN4010.JMCA.JParser.JavaParser,1.0,large
com.werken.saxpath.XPathLexer,0.13,large
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0.21,large
com.yahoo.platform.yui.compressor.YUICompressor,0.045,large
de.devcity.parseargs.ArgsParser,0.88,large
de.paragon.explorer.model.AttributeModelComparator,0.0,large
de.progra.charting.CoordSystemUtilities,0.245,large
de.progra.charting.DefaultChart,0.1,large
fr.pingtimeout.jtail.gui.action.IndexFileAction,0.0,large
framework.util.StringUtils,0.14,large
freemind.extensions.ExportHook,0.0,large
glengineer.blocks.Block,0.015,large
gnu.trove.impl.hash.TCharHash,0.155,large
gnu.trove.impl.hash.TFloatCharHash,0.195,large
httpanalyzer.Password,0.18,large
ipac.BinaryCalculate,0.79,large
jahuwaldt.plot.PlotAxis,0.315,medium
jaw.entrada.Abrir,0.0,large
jaw.entrada.Salvar,0.0,large
lotus.core.Game,0.15,large
net.kencochrane.a4j.file.FileUtil,0.84,large
net.sf.javaml.core.AbstractInstance,0.0,large
net.sf.javaml.core.DefaultDataset,0.09,large
net.sf.javaml.core.Fold,0.0,large
net.sf.javaml.core.SparseInstance,0.165,large
net.sf.lavalamp.device.TimeOfDay,0.09,large
net.sf.xbus.base.core.MessageHandler,0.0,large
net.sourceforge.jwbf.mediawiki.actions.editing.MovePage,0.0,large
org.apache.commons.cli.Option,0.225,large
org.apache.commons.collections4.list.TreeList,0.1,large
org.apache.commons.collections4.sequence.SequencesComparator,0.11,large
org.apache.commons.lang3.Conversion,0.1,large
org.apache.commons.lang3.LocaleUtils,0.99,large
org.apache.commons.lang3.Validate,0.0,large
org.apache.commons.lang3.builder.CompareToBuilder,0.085,large
org.apache.commons.lang3.builder.HashCodeBuilder,0.855,large
org.apache.commons.lang3.time.DateUtils,0.085,large
org.apache.commons.lang3.time.DurationFormatUtils,0.08,large
org.apache.commons.lang3.time.FastDateFormat,0.005,large
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,0.73,medium
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,0.105,large
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,0.075,large
org.apache.commons.math3.optim.univariate.BrentOptimizer,0.08,large
org.apache.commons.math3.util.MathUtils,0.17,large
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,0.12,large
org.exolab.jms.net.socket.SocketRequestInfo,0.06,large
org.firebirdsql.jdbc.FBProcedureCall,0.17,large
org.fixsuite.message.view.TreeView,0.1,large
org.javathena.login.UserManagement,0.09,large
org.javathena.login.parse.FromClient,0.075,large
org.jdom2.output.XMLOutputter,0.0,large
org.jdom2.util.NamespaceStack,0.155,large
org.jfree.chart.renderer.GrayPaintScale,0.15,large
org.jfree.data.category.DefaultIntervalCategoryDataset,0.15,large
org.jfree.data.time.TimeSeries,0.2,large
org.joda.time.DateTimeZone,0.165,large
org.joda.time.MutableDateTime,0.0,large
org.joda.time.Period,0.1,large
org.joda.time.chrono.BasicMonthOfYearDateTimeField,0.265,medium
org.joda.time.format.DateTimeFormatter,0.14,large
org.jsecurity.util.AntPathMatcher,0.74,large
org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,0.0,large
org.objectweb.asm.jip.commons.LocalVariablesSorter,0.08,large
org.quickserver.util.xmlreader.QuickServerConfig,0.0,large
org.scribe.model.Request,0.12,large
org.scribe.model.Verifier,0.0,large
org.tartarus.snowball.ext.italianStemmer,0.3,medium
simulator.CA.ConsumerAgent,0.0,large
src.Purchase,0.0,large
src.VassalRebellion,0.0,large
twitter4j.OEmbedRequest,0.19,large
twitter4j.TwitterBaseImpl,0.85,large
uk.me.jockmacmad.jstate.state.Transition,0.03,large
visu.handball.moves.actions.CreateMovePdfAction,0.0,large
visu.handball.moves.xml.HandballModelReader,0.24,large
