class,A_size,magnitude
Newzgrabber.Downloader,0.09,large
accessories.plugins.time.JDayChooser,0.83,large
bcry.battlecryGUI,0.85,large
com.eteks.sweethome3d.SweetHome3D,0.77,large
com.eteks.sweethome3d.viewcontroller.HomeController,0.92,large
com.google.common.base.Suppliers,0.86,large
com.google.common.base.Utf8,0.905,large
com.google.javascript.rhino.jstype.RecordType,0.76,large
com.jstevh.viewer.ClassViewer,0.75,large
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,0.8,large
com.lts.io.DirectoryScanner,0.875,large
com.pmdesigns.jvc.tools.JVCParserTokenManager,0.93,large
com.soops.CEN4010.JMCA.JMCAAnalyzer,0.85,large
com.soops.CEN4010.JMCA.JParser.JavaParser,0.75,large
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0.8,large
fr.unice.gfarce.interGraph.ModifTableStockage,0.905,large
framework.util.StringUtils,0.85,large
glengineer.agents.GroupAgent,0.895,large
gnu.trove.impl.hash.TShortHash,0.355,small
gnu.trove.list.linked.TDoubleLinkedList,0.91,large
gnu.trove.map.hash.TByteFloatHashMap,0.815,large
gnu.trove.map.hash.TByteObjectHashMap,0.795,large
ipac.WhoIS,0.86,large
jipa.Main,0.895,large
mindbright.ssh.SSHSCPGUIThread,0.98,large
nu.staldal.lagoon.LagoonCLI,0.925,large
nu.staldal.lagoon.LagoonGUI,0.85,large
org.apache.commons.cli.HelpFormatter,1.0,large
org.apache.commons.codec.language.DoubleMetaphone,0.965,large
org.apache.commons.lang3.BooleanUtils,0.93,large
org.apache.commons.lang3.ClassUtils,0.73,medium
org.apache.commons.lang3.Conversion,0.78,large
org.apache.commons.lang3.LocaleUtils,0.82,large
org.apache.commons.lang3.builder.HashCodeBuilder,1.0,large
org.apache.commons.lang3.text.StrBuilder,0.85,large
org.apache.commons.lang3.time.DateUtils,0.86,large
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,0.91,large
org.apache.commons.math3.geometry.euclidean.threed.Rotation,0.855,large
org.javathena.login.Login,0.925,large
org.jdom2.Verifier,0.805,large
org.jfree.chart.axis.Axis,0.96,large
org.jfree.chart.plot.XYPlot,0.9,large
org.joda.time.DateTimeZone,0.02,large
org.joda.time.MutableDateTime,0.2,large
org.joda.time.Partial,0.8,large
org.joda.time.format.DateTimeFormatterBuilder,0.98,large
org.joda.time.format.PeriodFormatterBuilder,0.9,large
org.jsecurity.util.AntPathMatcher,0.805,large
org.mozilla.javascript.Parser,0.99,large
org.objectweb.asm.jip.ClassReader,0.835,large
org.objectweb.asm.jip.MethodWriter,0.94,large
org.quickserver.net.client.monitoring.HostMonitoringService,0.195,large
org.quickserver.net.server.impl.NonBlockingClientHandler,0.88,large
org.scribe.model.Response,1.0,large
org.tartarus.snowball.ext.italianStemmer,0.795,large
org.tartarus.snowball.ext.turkishStemmer,0.875,large
server.ServerGameModel,0.95,large
twitter4j.TwitterBaseImpl,0.83,large
umd.cs.shop.JSJshop,0.15,large
umd.cs.shop.JSPredicateForm,0.785,large
umd.cs.shop.JSTerm,0.825,large
weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,0.74,large
wheel.asm.ClassReader,0.69,medium
