FEATURES_SELECTION,OUTLIER_REMOVAL,DATA_BALANCING,CLASSIFIER,SCORE,FEATURES
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8861152882205513,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8608521303258148,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8475187969924812,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8777777777777779,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8319917440660476,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8861152882205513,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8608521303258148,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8391812865497077,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8475187969924812,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
"SelectFromModel(estimator=DecisionTreeClassifier(), prefit=True)",IsolationForest(),"RandomOverSampler(sampling_strategy='all', shrinkage=0)","[RandomOverSampler(sampling_strategy='all', shrinkage=0)
 GradientBoostingClassifier(max_features=3, max_leaf_nodes=3,
                            min_samples_split=8, min_weight_fraction_leaf=0)]",0.8475187969924812,"['visibleMethodsQty' 'staticFieldsQty' 'loopQty' 'comparisonsQty'
 'numbersQty' 'mathOperationsQty']"
