FEATURES_SELECTION,OUTLIER_REMOVAL,DATA_BALANCING,CLASSIFIER,SCORE,FEATURES
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=1, sampling_strategy='minority')","[SMOTE(k_neighbors=1, sampling_strategy='minority')
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.6460037348272643,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=2, sampling_strategy='minority')","[SMOTE(k_neighbors=2, sampling_strategy='minority')
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=6, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=1, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.6491537220948986,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=3, sampling_strategy='minority')","[SMOTE(k_neighbors=3, sampling_strategy='minority')
 RandomForestClassifier(max_features=1, min_samples_leaf=4, min_samples_split=10,
                        n_estimators=10)                                         ]",0.6655240114063643,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=1, sampling_strategy='all')","[SMOTE(k_neighbors=1, sampling_strategy='all')
 GradientBoostingClassifier(max_leaf_nodes=10, min_samples_split=10,
                            min_weight_fraction_leaf=0)             ]",0.6915744315744317,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=2, sampling_strategy='all')","[SMOTE(k_neighbors=2, sampling_strategy='all')
 RandomForestClassifier(max_features=3, min_samples_leaf=3, min_samples_split=10,
                        n_estimators=20)                                         ]",0.6937202596026125,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"SMOTE(k_neighbors=3, sampling_strategy='all')","[SMOTE(k_neighbors=3, sampling_strategy='all')
 GradientBoostingClassifier(max_leaf_nodes=10, min_samples_split=8,
                            min_weight_fraction_leaf=0)            ]",0.7079143008554774,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,RandomOverSampler(sampling_strategy='minority'),"[RandomOverSampler(sampling_strategy='minority')
 AdaBoostClassifier(learning_rate=0.5, n_estimators=100)]",0.7045809675221439,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=0)","[RandomOverSampler(sampling_strategy='minority', shrinkage=0)
 GradientBoostingClassifier(max_leaf_nodes=10, min_samples_split=10,
                            min_weight_fraction_leaf=0)             ]",0.7079143008554774,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=1)","[RandomOverSampler(sampling_strategy='minority', shrinkage=1)
 XGBClassifier(base_score=0.5, booster='gbtree', callbacks=None,
               colsample_bylevel=1, colsample_bynode=1, colsample_bytree=1,
               early_stopping_rounds=None, enable_categorical=False,
               eval_metric=None, gamma=0, gpu_id=-1, grow_policy='depthwise',
               importance_type=None, interaction_constraints='',
               learning_rate=0.300000012, max_bin=256, max_cat_to_onehot=4,
               max_delta_step=0, max_depth=3, max_leaves=0, min_child_weight=1,
               missing=nan, monotone_constraints='()', n_estimators=100,
               n_jobs=0, num_parallel_tree=2, predictor='auto', random_state=0,
               reg_alpha=0, reg_lambda=1, ...)                                 ]",0.66795398339516,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
"SelectFromModel(estimator=LinearSVC(C=0.01, dual=False, penalty='l1'),
                prefit=True)",None,"RandomOverSampler(sampling_strategy='minority', shrinkage=2)","[RandomOverSampler(sampling_strategy='minority', shrinkage=2)
 LogisticRegression(C=4, max_iter=1000, random_state=42)]",0.5974075774004617,"['cboModified' 'lcom' 'privateFieldsQty' 'nosi' 'loopQty'
 'parenthesizedExpsQty' 'stringLiteralsQty' 'numbersQty' 'assignmentsQty'
 'uniqueWordsQty' 'modifiers']"
