class_name,AMC,CBM,IC,CAM,MFA,MOA,DAM,LOC,LCOM3,NPM,Ce,Ca,LCOM,RFC,CBO,NOC,DIT,WMC
Capture,164.6,0.0,0.0,0.4667,0.0,1.0,1.0,835.0,0.3214,5.0,2.0,1.0,0.0,60.0,3.0,0.0,0.0,5.0
Client,50.6047,0.0,0.0,0.1686,0.0,7.0,1.0,2249.0,0.9183,9.0,19.0,15.0,713.0,173.0,19.0,0.0,0.0,43.0
Convert,212.8333,0.0,0.0,0.4583,0.0,1.0,1.0,1297.0,0.3286,6.0,2.0,1.0,0.0,72.0,3.0,0.0,0.0,6.0
JSci.maths.LinearMath,138.2593,0.0,0.0,0.1571,0.0,0.0,1.0,3761.0,0.5769,13.0,15.0,8.0,339.0,66.0,19.0,0.0,0.0,27.0
JSci.maths.SpecialMath,183.44,0.0,0.0,0.3472,0.0,0.0,0.9655,4669.0,0.921,16.0,7.0,7.0,256.0,42.0,14.0,0.0,0.0,25.0
JSci.maths.symbolic.ExpressionParser,29.5,0.0,0.0,0.0754,0.0,9.0,0.8,2770.0,0.7546,23.0,21.0,1.0,1893.0,131.0,21.0,0.0,0.0,90.0
JSci.maths.symbolic.SimpleCharStream,25.4483,0.0,0.0,0.2202,0.0,0.0,0.6667,782.0,0.519,25.0,0.0,2.0,96.0,41.0,2.0,0.0,0.0,29.0
Joshua.FoxHunt.FoxHuntFrame,58.2222,0.0,0.0,0.4074,0.0,2.0,0.0,547.0,0.7321,3.0,5.0,1.0,12.0,63.0,5.0,0.0,0.0,9.0
Joshua.FoxHunt.HuntDisplay,49.1667,0.0,0.0,0.375,0.0,0.0,0.0,305.0,0.7,6.0,2.0,1.0,1.0,32.0,3.0,0.0,0.0,6.0
MP3,62.0,0.0,0.0,0.75,0.0,0.0,0.0,129.0,0.6667,2.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,2.0
Menu,160.5714,0.0,0.0,0.4643,0.0,1.0,1.0,1143.0,0.5,7.0,4.0,3.0,0.0,62.0,5.0,0.0,0.0,7.0
Newzgrabber.BatchDriver,100.5,0.0,0.0,0.75,0.0,2.0,1.0,414.0,0.875,4.0,7.0,2.0,0.0,34.0,7.0,0.0,0.0,4.0
Newzgrabber.Downloader,72.1429,0.0,0.0,0.2214,0.0,2.0,0.9615,1562.0,0.9442,18.0,12.0,4.0,152.0,88.0,13.0,0.0,0.0,21.0
Newzgrabber.Newzgrabber,67.7143,0.0,0.0,0.4038,0.0,5.0,0.0667,977.0,0.8359,13.0,14.0,22.0,63.0,104.0,23.0,0.0,0.0,14.0
Scanner,183.6842,0.0,0.0,0.273,0.0,0.0,0.4286,7025.0,0.6641,5.0,4.0,1.0,27.0,89.0,5.0,0.0,0.0,38.0
accessories.plugins.time.JDayChooser,28.2143,0.0,0.0,0.111,0.0,2.0,0.9667,1666.0,0.823,50.0,4.0,11.0,1174.0,145.0,11.0,1.0,0.0,56.0
apbs_mem_gui.Main,109.7105,0.0,0.0,0.2207,0.0,4.0,0.8372,4293.0,0.9246,9.0,16.0,8.0,595.0,201.0,19.0,0.0,0.0,38.0
bcry.battlecryGUI,97.0625,0.0,0.0,0.275,0.0,5.0,1.0,1628.0,0.809,4.0,8.0,6.0,30.0,119.0,10.0,0.0,0.0,16.0
bcry.bcGenerator,119.7895,0.0,0.0,0.3789,0.0,2.0,1.0,2302.0,0.6587,3.0,4.0,3.0,77.0,71.0,7.0,0.0,0.0,19.0
bible.obj.Verse,30.5,0.0,0.0,0.2095,0.0,1.0,1.0,510.0,0.7111,11.0,8.0,3.0,92.0,56.0,9.0,0.0,0.0,16.0
bible.util.Queue,23.0,0.0,0.0,0.4444,0.0,2.0,0.8333,294.0,0.5606,12.0,1.0,2.0,0.0,25.0,2.0,0.0,0.0,12.0
bierse.controller.DefaultSettingsController,79.6667,0.0,0.0,0.4667,0.0,3.0,1.0,245.0,0.1667,2.0,5.0,1.0,0.0,58.0,6.0,0.0,0.0,3.0
bierse.model.Drink,21.8,0.0,0.0,0.2159,0.0,1.0,0.8571,1047.0,0.8907,45.0,8.0,8.0,648.0,86.0,15.0,0.0,0.0,45.0
ch.bfh.egov.nutzenportfolio.common.AuswertungGrafik,229.25,0.0,0.0,0.5833,0.0,0.0,1.0,942.0,0.6032,2.0,3.0,0.0,0.0,45.0,3.0,0.0,0.0,4.0
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,111.625,0.0,0.0,0.2308,0.0,5.0,1.0,907.0,0.619,7.0,17.0,0.0,0.0,90.0,17.0,0.0,0.0,8.0
ch.bluepenguin.email.client.tapestry.MessageList,15.8462,0.0,0.0,0.2833,0.0,2.0,1.0,222.0,0.75,12.0,7.0,1.0,52.0,39.0,8.0,0.0,0.0,13.0
client.network.ForwardingObserver,66.0,0.0,0.0,0.6,0.0,2.0,1.0,136.0,0.0,2.0,9.0,1.0,0.0,20.0,9.0,0.0,0.0,2.0
com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,43.375,0.0,0.0,0.2267,0.0,1.0,1.0,717.0,0.9143,5.0,32.0,8.0,82.0,79.0,35.0,0.0,0.0,16.0
com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,36.1667,0.0,0.0,0.2273,0.0,0.0,0.6,674.0,0.8118,13.0,21.0,40.0,61.0,72.0,56.0,2.0,0.0,18.0
com.allenstudio.ir.ui.MainMenu,80.25,0.0,0.0,0.5,0.0,1.0,1.0,329.0,1.25,2.0,4.0,1.0,6.0,33.0,5.0,0.0,0.0,4.0
com.allenstudio.ir.util.XmlElement,17.6944,0.0,0.0,0.2824,0.0,1.0,0.0,678.0,0.64,35.0,0.0,2.0,188.0,72.0,2.0,0.0,0.0,36.0
com.browsersoft.aacs.User,18.0769,0.0,0.0,0.1936,0.0,0.0,0.9048,1013.0,0.9169,49.0,2.0,6.0,1102.0,90.0,8.0,0.0,0.0,52.0
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,17.8333,0.0,0.0,0.3333,0.0,0.0,1.0,228.0,0.5,12.0,5.0,2.0,18.0,33.0,7.0,0.0,0.0,12.0
com.densebrain.rif.server.transport.WebServiceDescriptor,9.7778,0.0,0.0,0.4167,0.0,0.0,0.0,100.0,0.6667,9.0,0.0,1.0,4.0,12.0,1.0,0.0,0.0,9.0
com.eteks.sweethome3d.SweetHome3D,31.5,0.0,0.0,0.2308,0.0,7.0,1.0,857.0,0.9033,6.0,39.0,20.0,311.0,121.0,46.0,0.0,0.0,26.0
com.eteks.sweethome3d.j3d.Room3D,139.3889,0.0,0.0,0.2275,0.0,1.0,1.0,2531.0,0.8971,3.0,17.0,4.0,139.0,149.0,20.0,0.0,0.0,18.0
com.eteks.sweethome3d.viewcontroller.HomeController,31.7358,0.0,0.0,0.0854,0.0,12.0,1.0,3486.0,0.7161,65.0,100.0,104.0,3237.0,361.0,153.0,1.0,0.0,106.0
