class,label
JSci.maths.SpecialMath,1
Scanner,1
accessories.plugins.time.JDayChooser,1
bcry.battlecryGUI,1
bierse.model.Drink,1
client.network.ForwardingObserver,1
com.eteks.sweethome3d.viewcontroller.HomeController,1
com.google.common.base.CharMatcher,1
com.google.common.base.Utf8,1
com.google.common.math.BigIntegerMath,1
com.google.javascript.jscomp.ReferenceCollectingCallback,-1
com.jstevh.viewer.ClassViewer,1
com.lts.io.DirectoryScanner,1
com.mentorgen.tools.profile.runtime.Profile,-1
com.soops.CEN4010.JMCA.JParser.JavaCharStream,1
com.soops.CEN4010.JMCA.JParser.JavaParser,1
com.yahoo.platform.yui.compressor.JavaScriptCompressor,-1
de.beiri22.stringincrementor.helper.IndexedString,1
de.devcity.parseargs.ArgsParser,1
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,1
framework.util.StringUtils,1
ghm.follow.search.SearchableTextPane,1
gnu.trove.list.linked.TDoubleLinkedList,1
gnu.trove.map.hash.TByteFloatHashMap,1
gnu.trove.map.hash.TByteObjectHashMap,1
ioproject.server.network.ClientGroup,-1
ipac.BinaryCalculate,1
jigl.image.levelSetTool.LevelSetNudge,-1
jigl.image.ops.ConnectedComponents,1
jipa.Main,1
mindbright.ssh.SSHSCPGUIThread,1
net.kencochrane.a4j.file.FileUtil,1
nu.staldal.lagoon.LagoonCLI,1
nu.staldal.lagoon.LagoonGUI,1
org.apache.commons.cli.HelpFormatter,1
org.apache.commons.codec.language.DoubleMetaphone,1
org.apache.commons.collections4.list.TreeList,1
org.apache.commons.lang3.BooleanUtils,1
org.apache.commons.lang3.Conversion,1
org.apache.commons.lang3.LocaleUtils,1
org.apache.commons.lang3.Validate,1
org.apache.commons.lang3.builder.HashCodeBuilder,1
org.apache.commons.lang3.text.StrBuilder,1
org.apache.commons.lang3.time.DateUtils,1
org.apache.commons.math3.analysis.FunctionUtils,1
org.apache.commons.math3.fraction.Fraction,-1
org.apache.commons.math3.geometry.euclidean.threed.Rotation,1
org.apache.commons.math3.linear.MatrixUtils,1
org.apache.lucene.search.exposed.ExposedTimSort,1
org.databene.jdbacl.DBUtil,1
org.javathena.login.Login,1
org.jdom2.Verifier,1
org.jfree.chart.plot.ValueMarker,-1
org.jfree.chart.plot.XYPlot,1
org.jfree.data.time.TimeSeries,1
org.joda.time.DateTimeZone,-1
org.joda.time.MutableDateTime,-1
org.joda.time.base.BasePeriod,1
org.joda.time.format.DateTimeFormatterBuilder,1
org.joda.time.format.PeriodFormatterBuilder,1
org.joda.time.tz.ZoneInfoCompiler,1
org.mozilla.javascript.Parser,1
org.objectweb.asm.jip.MethodWriter,1
org.quickserver.net.client.monitoring.HostMonitoringService,-1
org.scribe.model.Response,1
org.tartarus.snowball.ext.englishStemmer,-1
org.tartarus.snowball.ext.turkishStemmer,1
twitter4j.TwitterBaseImpl,1
umd.cs.shop.JSTerm,1
weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,1
weka.core.FindWithCapabilities,1
wheel.asm.ClassReader,1
