class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
com.eteks.sweethome3d.SweetHome3D,class,26,47,21,26,75,3,0,80,213,0.93181807,0.0,0.0,22,1,6,8,7,1,14,0,0,0,12,3,0,12,0,0,4,0,34,634,13,7,18,5,1,28,28,60,4,51,5,12,4,0,403,1,0
com.google.common.base.CharMatcher,class,36,73,37,36,109,50,26,40,1273,0.9607843,0.0,0.0,51,24,43,5,1,2,46,1,0,0,1,1,0,1,0,0,1,0,14,873,66,18,12,0,5,4,66,58,32,49,3,1,28,0,505,1025,0
com.google.common.base.Splitter,class,14,55,41,14,25,2,0,28,152,0.7625,0.0,0.0,20,7,16,4,0,0,16,0,0,0,4,0,0,4,0,0,4,0,20,242,19,1,2,0,0,5,5,6,0,6,1,5,3,0,339,17,0
com.google.javascript.jscomp.ControlFlowAnalysis,class,15,17,2,15,248,3,0,93,714,0.9291666,0.0,0.0,40,13,6,25,0,9,15,0,0,0,12,0,0,12,0,0,6,0,62,698,76,17,54,0,2,4,5,76,0,58,4,0,1,2,294,17,0
com.google.javascript.jscomp.ExploitAssigns,class,5,6,1,5,50,2,0,26,15,0.0,,,6,2,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,128,19,4,4,0,2,0,0,19,0,10,4,0,0,0,110,0,0
com.mentorgen.tools.profile.runtime.Profile,class,7,14,7,7,55,1,0,52,62,0.804762,0.0,0.0,21,20,20,1,0,0,20,0,1,0,10,10,0,10,0,0,0,0,29,238,16,3,13,1,1,8,4,38,5,31,3,0,0,0,132,17,0
com.pmdesigns.jvc.tools.TokenMgrError,class,1,4,3,1,19,3,0,11,15,0.97222227,0.0,0.0,6,2,4,0,2,0,6,0,1,0,6,5,0,1,0,5,5,0,5,67,3,1,0,0,4,20,11,10,6,10,3,0,0,0,156,1,0
gnu.trove.map.hash.TFloatObjectHashMap,class,16,23,7,16,87,8,0,51,318,0.8263889,0.0,0.0,36,0,32,1,3,0,35,0,0,0,4,1,0,1,2,1,2,0,5,645,32,16,20,2,4,12,32,92,2,70,4,2,4,0,169,1,0
jahuwaldt.plot.PlotAxis,class,5,15,10,5,41,1,2,9,288,0.9222689,0.0,0.0,28,0,24,0,4,0,28,3,0,0,14,5,4,1,9,0,5,0,2,129,12,0,4,1,2,2,11,49,4,27,2,0,0,0,219,1025,0
net.kencochrane.a4j.file.FileUtil,class,4,8,4,4,106,1,0,40,208,0.76,0.0,0.0,25,0,25,0,0,0,25,0,0,0,2,0,0,0,2,0,0,0,7,613,70,0,24,19,0,51,11,160,27,132,4,0,0,0,90,1,0
org.apache.commons.lang3.ArrayUtils,class,18,40,22,18,1117,1,0,232,60170,0.98591876,0.0,0.0,361,360,356,3,0,2,358,0,0,0,24,24,24,0,0,0,24,0,558,3454,606,125,296,1,12,51,580,623,201,387,3,0,0,0,547,1,0
org.apache.commons.lang3.BooleanUtils,class,3,7,4,3,172,1,0,16,820,0.0,0.0,0.0,41,40,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,15,369,79,3,94,3,19,34,34,20,0,19,2,0,0,0,176,1,0
org.apache.commons.lang3.ClassUtils,class,7,20,13,7,175,1,0,88,1421,0.97530866,0.0,0.0,54,53,50,4,0,0,54,0,0,0,9,9,4,5,0,0,9,0,54,609,103,19,57,4,0,40,42,81,13,54,3,2,1,2,516,1,0
org.apache.commons.lang3.LocaleUtils,class,2,3,1,2,54,1,0,27,78,0.9230769,0.0,0.0,13,12,9,4,0,0,9,0,0,0,2,2,0,2,0,0,2,0,22,149,20,2,15,0,2,9,25,22,7,16,3,0,1,0,174,1,0
org.apache.commons.lang3.builder.HashCodeBuilder,class,15,17,2,15,82,1,0,56,160,0.7222222,0.0,0.0,36,11,30,4,0,2,32,0,0,0,5,3,0,5,0,0,4,0,23,278,31,11,17,2,5,5,12,36,31,12,4,0,0,0,294,1,0
org.apache.commons.math3.analysis.FunctionUtils,class,15,40,25,15,25,1,0,3,231,0.0,0.0,0.0,22,21,21,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,441,21,1,0,0,1,0,2,4,4,3,1,19,0,0,172,1,0
org.apache.commons.math3.fraction.ProperFractionFormat,class,5,7,2,5,17,5,0,23,15,0.78571427,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,1,0,5,89,11,0,6,0,2,1,9,17,4,15,1,0,0,0,114,1,0
org.apache.commons.math3.linear.MatrixUtils,class,38,71,33,38,120,3,0,47,666,1.0,0.0,0.0,37,36,35,2,0,0,35,0,0,0,2,2,2,0,0,0,2,0,20,424,24,22,36,2,19,6,74,92,23,89,4,0,2,0,337,1,0
org.apache.commons.math3.linear.SchurTransformer,class,9,11,2,9,54,1,0,20,0,0.6857143,0.0,0.0,10,0,3,6,0,1,4,0,0,0,7,1,0,7,0,0,4,0,2,259,6,15,14,0,8,0,114,133,155,53,4,0,1,0,193,0,0
