TARGET_CLASS,Difference
com.eteks.sweethome3d.SweetHome3D,1
com.google.common.base.CharMatcher,1
com.google.common.base.Splitter,-1
com.google.javascript.jscomp.ControlFlowAnalysis,-1
com.google.javascript.jscomp.ExploitAssigns,-1
com.mentorgen.tools.profile.runtime.Profile,-1
com.pmdesigns.jvc.tools.TokenMgrError,1
gnu.trove.map.hash.TFloatObjectHashMap,-1
jahuwaldt.plot.PlotAxis,-1
net.kencochrane.a4j.file.FileUtil,1
org.apache.commons.lang3.ArrayUtils,-1
org.apache.commons.lang3.BooleanUtils,-1
org.apache.commons.lang3.ClassUtils,-1
org.apache.commons.lang3.LocaleUtils,-1
org.apache.commons.lang3.builder.HashCodeBuilder,1
org.apache.commons.math3.analysis.FunctionUtils,1
org.apache.commons.math3.fraction.ProperFractionFormat,-1
org.apache.commons.math3.linear.MatrixUtils,1
org.apache.commons.math3.linear.SchurTransformer,1
org.javathena.login.UserManagement,1
org.jfree.chart.plot.XYPlot,-1
org.jfree.data.time.TimeSeries,-1
org.joda.time.tz.ZoneInfoCompiler,1
org.znerd.xmlenc.XMLEncoder,1
twitter4j.TwitterImpl,-1
