class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Joshua.FoxHunt.HuntDisplay,class,2,4,2,2,15,4,0,21,1,0.5833334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,74,2,6,2,0,16,0,24,29,14,23,2,0,0,0,50,1,0
accessories.plugins.time.JDayChooser,class,4,12,8,4,134,10,0,82,1162,0.93035716,0.0,0.0,56,1,50,2,4,0,54,0,0,0,30,2,1,2,27,0,2,0,13,628,21,18,27,0,13,11,134,127,25,83,3,1,1,0,251,1,0
bible.obj.Verse,class,9,15,6,9,30,1,0,32,93,0.84444445,0.0,0.0,15,6,11,4,0,0,11,0,0,0,6,3,0,6,0,0,1,0,16,137,12,2,6,3,4,36,7,32,8,22,2,0,0,0,79,1,0
bible.util.Queue,class,2,5,3,2,27,1,0,9,0,0.625,0.0,0.0,12,0,12,0,0,0,12,0,0,3,6,1,1,5,0,0,1,0,0,113,8,3,9,0,6,6,5,28,3,12,4,0,1,0,138,1,0
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,class,17,20,3,17,30,1,0,69,0,0.625,0.0,0.0,8,0,7,1,0,0,7,0,0,0,6,0,0,6,0,0,0,0,1,216,11,2,18,0,6,57,17,63,40,52,4,0,0,0,120,1,30
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,class,5,11,6,5,32,1,0,20,18,0.5833333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,0,0,2,0,0,0,0,0,105,6,3,0,0,0,5,7,11,0,10,3,0,0,0,39,1,0
com.eteks.sweethome3d.SweetHome3D,class,26,47,21,26,75,3,0,80,213,0.93181807,0.0,0.0,22,1,6,8,7,1,14,0,0,0,12,3,0,12,0,0,4,0,34,634,13,7,18,5,1,28,28,60,4,51,5,12,4,0,403,1,0
com.google.common.base.Joiner,class,8,49,41,8,26,1,0,22,219,0.8181818,0.0,0.0,22,3,18,3,0,1,19,0,10,0,1,0,0,1,0,0,1,0,13,197,20,1,0,1,1,0,0,2,0,1,2,3,1,0,151,1,0
com.google.common.base.Predicates,class,23,62,39,23,27,2,0,15,253,0.0,0.0,0.0,23,22,18,4,0,1,19,0,0,0,0,0,0,0,0,0,0,0,15,357,22,2,1,0,1,2,0,4,0,3,2,0,11,0,209,17,0
com.google.common.base.SmallCharMatcher,class,6,8,2,6,21,4,0,9,1,0.6530613,0.0,0.0,7,3,1,2,0,4,5,0,0,0,7,4,0,6,0,1,7,0,5,84,10,5,9,0,4,0,27,24,12,18,3,0,0,0,89,16,0
