class,Difference
Joshua.FoxHunt.HuntDisplay,-1
accessories.plugins.time.JDayChooser,1
bible.obj.Verse,-1
bible.util.Queue,-1
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,-1
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,-1
com.eteks.sweethome3d.SweetHome3D,-1
com.google.common.base.Joiner,-1
com.google.common.base.Predicates,-1
com.google.common.base.SmallCharMatcher,-1
com.google.common.base.Splitter,-1
com.google.common.base.Utf8,-1
com.google.common.math.BigIntegerMath,-1
com.ib.client.ComboLeg,-1
com.jstevh.viewer.ClassInfo,-1
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,-1
com.lts.event.SimpleKeyListenerHelper,-1
com.lts.io.DirectoryScanner,1
com.lts.swing.combobox.SimpleComboBox,-1
com.mentorgen.tools.profile.runtime.Profile,-1
com.puppycrawl.tools.checkstyle.api.FileText,-1
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,-1
com.soops.CEN4010.JMCA.JParser.JavaParser,1
com.werken.saxpath.XPathLexer,-1
com.yahoo.platform.yui.compressor.ScriptOrFnScope,-1
com.yahoo.platform.yui.compressor.YUICompressor,-1
de.devcity.parseargs.ArgsParser,1
de.paragon.explorer.model.AttributeModelComparator,-1
de.progra.charting.CoordSystemUtilities,-1
de.progra.charting.DefaultChart,-1
fr.pingtimeout.jtail.gui.action.IndexFileAction,-1
framework.util.StringUtils,-1
freemind.extensions.ExportHook,-1
glengineer.blocks.Block,-1
gnu.trove.impl.hash.TCharHash,-1
gnu.trove.impl.hash.TFloatCharHash,-1
httpanalyzer.Password,-1
ipac.BinaryCalculate,1
jahuwaldt.plot.PlotAxis,-1
jaw.entrada.Abrir,-1
jaw.entrada.Salvar,-1
lotus.core.Game,-1
net.kencochrane.a4j.file.FileUtil,1
net.sf.javaml.core.AbstractInstance,-1
net.sf.javaml.core.DefaultDataset,-1
net.sf.javaml.core.Fold,-1
net.sf.javaml.core.SparseInstance,-1
net.sf.lavalamp.device.TimeOfDay,-1
net.sf.xbus.base.core.MessageHandler,-1
net.sourceforge.jwbf.mediawiki.actions.editing.MovePage,-1
org.apache.commons.cli.Option,-1
org.apache.commons.collections4.list.TreeList,-1
org.apache.commons.collections4.sequence.SequencesComparator,-1
org.apache.commons.lang3.Conversion,-1
org.apache.commons.lang3.LocaleUtils,1
org.apache.commons.lang3.Validate,-1
org.apache.commons.lang3.builder.CompareToBuilder,-1
org.apache.commons.lang3.builder.HashCodeBuilder,1
org.apache.commons.lang3.time.DateUtils,-1
org.apache.commons.lang3.time.DurationFormatUtils,-1
org.apache.commons.lang3.time.FastDateFormat,-1
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,1
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,-1
org.apache.commons.math3.linear.RectangularCholeskyDecomposition,-1
org.apache.commons.math3.optim.univariate.BrentOptimizer,-1
org.apache.commons.math3.util.MathUtils,-1
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,-1
org.exolab.jms.net.socket.SocketRequestInfo,-1
org.firebirdsql.jdbc.FBProcedureCall,-1
org.fixsuite.message.view.TreeView,-1
org.javathena.login.UserManagement,-1
org.javathena.login.parse.FromClient,-1
org.jdom2.output.XMLOutputter,-1
org.jdom2.util.NamespaceStack,-1
org.jfree.chart.renderer.GrayPaintScale,-1
org.jfree.data.category.DefaultIntervalCategoryDataset,-1
org.jfree.data.time.TimeSeries,-1
org.joda.time.DateTimeZone,-1
org.joda.time.MutableDateTime,-1
org.joda.time.Period,-1
org.joda.time.chrono.BasicMonthOfYearDateTimeField,-1
org.joda.time.format.DateTimeFormatter,-1
org.jsecurity.util.AntPathMatcher,1
org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,-1
org.objectweb.asm.jip.commons.LocalVariablesSorter,-1
org.quickserver.util.xmlreader.QuickServerConfig,-1
org.scribe.model.Request,-1
org.scribe.model.Verifier,-1
org.tartarus.snowball.ext.italianStemmer,-1
simulator.CA.ConsumerAgent,-1
src.Purchase,-1
src.VassalRebellion,-1
twitter4j.OEmbedRequest,-1
twitter4j.TwitterBaseImpl,1
uk.me.jockmacmad.jstate.state.Transition,-1
visu.handball.moves.actions.CreateMovePdfAction,-1
