class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Newzgrabber.Downloader,class,12,18,6,12,158,1,0,54,136,0.8923077,0.0,0.0,20,0,18,2,0,0,18,0,0,0,26,5,1,21,4,0,3,0,11,426,13,8,40,11,2,107,46,85,41,55,9,0,0,0,170,1,0
accessories.plugins.time.JDayChooser,class,4,12,8,4,134,10,0,82,1162,0.93035716,0.0,0.0,56,1,50,2,4,0,54,0,0,0,30,2,1,2,27,0,2,0,13,628,21,18,27,0,13,11,134,127,25,83,3,1,1,0,251,1,0
bcry.battlecryGUI,class,6,10,4,6,51,6,0,75,52,0.89724576,0.0,0.0,16,1,4,12,0,0,4,0,0,0,59,1,0,59,0,0,5,0,9,431,0,1,24,3,12,97,51,95,17,69,2,3,0,0,163,1,0
com.eteks.sweethome3d.SweetHome3D,class,26,47,21,26,75,3,0,80,213,0.93181807,0.0,0.0,22,1,6,8,7,1,14,0,0,0,12,3,0,12,0,0,4,0,34,634,13,7,18,5,1,28,28,60,4,51,5,12,4,0,403,1,0
com.eteks.sweethome3d.viewcontroller.HomeController,class,44,116,72,44,241,4,2,212,1338,0.8933424,0.0,0.0,92,0,64,24,4,0,68,0,1,0,16,1,0,16,0,0,7,0,3,1417,14,17,79,5,9,16,36,141,2,118,5,44,5,0,382,1,0
com.google.common.base.CharMatcher,class,36,73,37,36,109,50,26,40,1273,0.9607843,0.0,0.0,51,24,43,5,1,2,46,1,0,0,1,1,0,1,0,0,1,0,14,873,66,18,12,0,5,4,66,58,32,49,3,1,28,0,505,1025,0
com.google.common.base.Suppliers,class,13,17,4,13,10,1,0,0,21,0.0,0.0,0.0,7,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,180,7,0,0,0,0,2,0,1,0,1,1,0,8,0,154,17,0
com.google.common.base.Utf8,class,5,6,1,5,39,1,0,8,21,0.0,0.0,0.0,7,6,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,100,13,6,5,0,12,2,34,18,15,14,4,0,0,0,165,17,0
com.jstevh.viewer.ClassViewer,class,7,19,12,7,94,7,0,89,95,0.93734354,0.0,0.0,19,1,9,10,0,0,10,0,0,0,57,11,8,13,0,36,4,0,14,784,22,13,40,8,16,108,70,194,42,143,7,15,1,0,325,1,0
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,class,4,7,3,4,53,1,0,24,36,0.88888896,0.0,0.0,9,0,5,0,4,0,9,0,0,0,11,3,0,11,0,0,2,0,4,145,14,2,10,0,17,13,11,27,13,21,3,0,0,0,73,1,4
com.lts.io.DirectoryScanner,class,3,8,5,3,136,1,1,27,155,0.855372,0.0,0.0,22,3,14,0,8,0,22,0,0,0,11,1,0,0,11,0,1,0,8,469,43,40,32,0,6,21,57,128,35,96,5,0,0,0,275,1,0
com.pmdesigns.jvc.tools.JVCParserTokenManager,class,7,10,3,7,1085,1,0,60,1460,0.9567667,0.0,0.0,56,0,7,48,1,0,8,0,12,0,19,8,4,2,2,11,10,0,1,2022,142,28,433,26,172,17,1752,486,44,76,8,0,0,0,142,1,0
com.soops.CEN4010.JMCA.JMCAAnalyzer,class,5,8,3,5,111,1,0,51,41,0.79545456,0.0,0.0,11,0,2,9,0,0,2,0,0,0,4,1,0,4,0,0,1,0,0,317,13,16,24,0,2,56,28,62,11,38,8,0,0,0,161,1,0
com.soops.CEN4010.JMCA.JParser.JavaCharStream,class,3,8,5,3,99,1,0,14,99,0.77798873,0.0,0.0,31,1,25,0,5,1,31,0,1,0,17,1,2,0,12,3,1,0,16,350,35,4,19,4,19,3,111,114,52,31,5,0,0,0,108,1,0
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,class,8,11,3,8,799,1,0,48,805,0.9476192,0.0,0.0,42,2,7,31,1,3,11,0,31,0,30,16,4,2,2,22,18,0,5,1416,302,14,236,20,234,111,1704,254,32,65,12,0,0,0,253,1,0
com.werken.saxpath.XPathLexer,class,2,7,5,2,172,1,0,45,0,0.75,0.0,0.0,44,0,3,0,0,41,44,0,0,0,4,0,0,4,0,0,0,0,2,571,40,5,21,0,18,0,65,90,32,39,3,0,0,0,66,0,0
de.progra.charting.CoordSystemUtilities,class,6,8,2,6,53,1,0,45,0,0.5076923,0.0,0.0,13,0,13,0,0,0,13,0,0,0,5,0,0,0,5,0,1,0,14,225,11,5,5,0,18,0,65,140,48,104,2,0,0,0,125,1,0
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,class,2,15,13,2,29,1,0,4,0,0.6057693,0.0,0.0,13,0,13,0,0,0,13,0,0,0,8,0,0,8,0,0,8,0,1,73,21,0,22,0,5,8,12,16,14,10,1,0,0,0,99,1,0
fr.unice.gfarce.interGraph.ModifTableStockage,class,2,7,5,2,72,1,0,20,0,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,12,277,14,39,14,2,11,23,97,90,49,66,6,0,0,0,122,1,0
framework.util.StringUtils,class,7,26,19,7,75,1,0,59,561,0.9705882,0.0,0.0,34,33,33,0,1,0,34,0,0,0,8,8,0,8,0,0,7,0,36,232,43,11,18,1,4,29,17,77,9,59,4,0,0,0,260,17,2
glengineer.agents.GroupAgent,class,12,27,15,12,77,2,2,46,36,0.32142857,0.0,0.0,28,0,23,5,0,0,23,2,0,0,1,0,0,0,1,0,0,0,1,220,29,17,9,0,2,16,2,34,5,29,3,0,1,0,196,1025,0
gnu.trove.impl.hash.TShortHash,class,6,9,3,6,42,3,1,9,0,0.64285713,0.0,0.0,14,0,7,0,4,3,14,0,0,0,4,1,1,0,2,1,1,0,6,142,18,3,23,0,4,1,24,39,10,25,3,0,0,0,158,1025,0
gnu.trove.list.linked.TDoubleLinkedList,class,11,14,3,11,194,1,0,57,2067,0.8266667,0.0,0.0,75,5,68,3,0,4,72,0,0,0,4,0,0,0,0,4,0,0,38,666,79,45,19,0,7,21,45,166,28,109,3,1,2,0,167,1,0
gnu.trove.map.hash.TByteObjectHashMap,class,15,22,7,15,87,8,0,51,318,0.8263889,0.0,0.0,36,0,32,1,3,0,35,0,0,0,4,1,0,1,2,1,2,0,5,645,32,16,20,2,4,12,32,92,2,70,4,2,4,0,169,1,0
gnu.trove.map.hash.TFloatObjectHashMap,class,16,23,7,16,87,8,0,51,318,0.8263889,0.0,0.0,36,0,32,1,3,0,35,0,0,0,4,1,0,1,2,1,2,0,5,645,32,16,20,2,4,12,32,92,2,70,4,2,4,0,169,1,0
ipac.WhoIS,class,2,7,5,2,29,5,0,42,62,0.85897446,0.0,0.0,13,0,3,10,0,0,3,0,0,0,12,0,0,0,0,12,0,0,1,271,6,2,5,1,2,104,9,64,19,52,5,7,0,0,308,1,0
