TARGET_CLASS,Difference
bierse.model.Drink,-1
com.google.common.base.Suppliers,1
com.google.javascript.jscomp.ReferenceCollectingCallback,1
de.tudarmstadt.ukp.wikipedia.api.Title,-1
gnu.trove.map.hash.TByteFloatHashMap,-1
ipac.BinaryCalculate,-1
ipac.WhoIS,1
jahuwaldt.plot.PlotAxis,-1
org.apache.commons.lang3.ArrayUtils,-1
org.apache.commons.lang3.ClassUtils,-1
org.apache.commons.lang3.builder.HashCodeBuilder,1
org.apache.commons.math3.analysis.FunctionUtils,1
org.apache.commons.math3.fraction.ProperFractionFormat,-1
org.apache.commons.math3.geometry.euclidean.threed.Rotation,1
org.apache.commons.math3.linear.SchurTransformer,1
org.jfree.data.time.TimeSeries,-1
org.joda.time.chrono.BasicMonthOfYearDateTimeField,1
org.joda.time.format.DateTimeFormatter,1
org.jsecurity.util.AntPathMatcher,-1
org.objectweb.asm.jip.ClassReader,-1
org.templateit.WorkbookParser,-1
twitter4j.TwitterImpl,-1
umd.cs.shop.JSTerm,-1
