class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
com.eteks.sweethome3d.SweetHome3D,class,26,47,21,26,75,3,0,80,213,0.93181807,0.0,0.0,22,1,6,8,7,1,14,0,0,0,12,3,0,12,0,0,4,0,34,634,13,7,18,5,1,28,28,60,4,51,5,12,4,0,403,1,0
com.google.common.base.Splitter,class,14,55,41,14,25,2,0,28,152,0.7625,0.0,0.0,20,7,16,4,0,0,16,0,0,0,4,0,0,4,0,0,4,0,20,242,19,1,2,0,0,5,5,6,0,6,1,5,3,0,339,17,0
com.google.common.base.Suppliers,class,13,17,4,13,10,1,0,0,21,0.0,0.0,0.0,7,6,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,180,7,0,0,0,0,2,0,1,0,1,1,0,8,0,154,17,0
com.google.javascript.jscomp.ReferenceCollectingCallback,class,23,25,2,23,65,1,0,55,65,0.8111111,0.0,0.0,18,3,11,5,0,2,13,0,0,0,10,1,0,9,0,1,8,0,13,195,13,1,8,0,5,0,5,31,2,27,3,1,2,1,210,17,0
com.google.javascript.jscomp.parsing.JsDocInfoParser,class,25,28,3,25,545,1,0,251,2879,0.9395604,0.0,0.0,91,6,8,77,0,6,14,0,0,0,20,8,1,19,0,0,16,0,16,1916,207,18,157,0,4,171,34,339,15,177,6,0,4,0,497,17,0
com.mentorgen.tools.profile.runtime.Profile,class,7,14,7,7,55,1,0,52,62,0.804762,0.0,0.0,21,20,20,1,0,0,20,0,1,0,10,10,0,10,0,0,0,0,29,238,16,3,13,1,1,8,4,38,5,31,3,0,0,0,132,17,0
com.werken.saxpath.XPathLexer,class,2,7,5,2,172,1,0,45,0,0.75,0.0,0.0,44,0,3,0,0,41,44,0,0,0,4,0,0,4,0,0,0,0,2,571,40,5,21,0,18,0,65,90,32,39,3,0,0,0,66,0,0
de.outstare.fortbattleplayer.model.impl.SimpleSector,class,10,24,14,10,51,1,0,17,141,0.8181818,0.0,0.0,22,0,16,2,4,0,20,0,0,0,12,0,0,12,0,0,10,0,0,172,29,2,19,0,8,1,17,35,20,21,3,0,0,0,71,1,0
de.outstare.fortbattleplayer.statistics.BattleStatistics,class,25,38,13,25,109,1,0,84,852,0.944664,0.0,0.0,44,0,36,4,0,4,46,0,0,0,23,1,0,23,0,0,20,0,9,384,34,20,15,0,3,13,25,79,15,64,4,0,0,0,196,1,1
de.progra.charting.CoordSystemUtilities,class,6,8,2,6,53,1,0,45,0,0.5076923,0.0,0.0,13,0,13,0,0,0,13,0,0,0,5,0,0,0,5,0,1,0,14,225,11,5,5,0,18,0,65,140,48,104,2,0,0,0,125,1,0
ghm.follow.search.SearchableTextPane,class,4,12,8,4,25,6,0,34,34,0.8611111,0.0,0.0,9,0,6,3,0,0,6,0,0,0,4,0,0,4,0,0,1,0,4,112,5,3,8,2,3,2,13,37,4,26,4,0,0,0,135,1,0
jahuwaldt.plot.PlotAxis,class,5,15,10,5,41,1,2,9,288,0.9222689,0.0,0.0,28,0,24,0,4,0,28,3,0,0,14,5,4,1,9,0,5,0,2,129,12,0,4,1,2,2,11,49,4,27,2,0,0,0,219,1025,0
jipa.Variable,class,1,4,3,1,20,1,0,14,0,0.4074074,0.0,0.0,9,5,4,5,0,0,4,0,0,0,3,1,1,2,0,0,0,0,5,53,10,1,4,0,0,2,9,11,0,9,3,0,0,0,21,1,0
net.kencochrane.a4j.file.FileUtil,class,4,8,4,4,106,1,0,40,208,0.76,0.0,0.0,25,0,25,0,0,0,25,0,0,0,2,0,0,0,2,0,0,0,7,613,70,0,24,19,0,51,11,160,27,132,4,0,0,0,90,1,0
net.sourceforge.ext4j.taglib.bo.Request,class,5,7,2,5,92,1,0,46,297,0.89166665,0.0,0.0,30,0,27,0,3,0,30,0,0,0,12,6,0,12,0,0,6,0,1,241,41,9,32,2,16,37,26,62,13,44,4,0,0,0,94,1,3
net.sourceforge.schemaspy.model.Table,class,12,57,45,12,213,4,3,144,1410,0.93356323,0.0,0.0,61,1,46,9,5,1,52,0,0,0,19,3,0,17,2,0,14,0,16,666,64,33,67,16,4,74,24,110,23,82,6,1,2,0,314,1,0
org.apache.commons.collections4.list.TreeList,class,5,7,2,5,25,3,0,15,0,0.375,0.0,0.0,16,0,15,1,0,0,15,0,0,0,2,0,0,2,0,0,0,0,0,564,13,0,4,0,0,2,13,15,4,7,1,0,2,0,196,1,0
org.apache.commons.lang3.BooleanUtils,class,3,7,4,3,172,1,0,16,820,0.0,0.0,0.0,41,40,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,15,369,79,3,94,3,19,34,34,20,0,19,2,0,0,0,176,1,0
org.apache.commons.lang3.LocaleUtils,class,2,3,1,2,54,1,0,27,78,0.9230769,0.0,0.0,13,12,9,4,0,0,9,0,0,0,2,2,0,2,0,0,2,0,22,149,20,2,15,0,2,9,25,22,7,16,3,0,1,0,174,1,0
org.apache.commons.lang3.builder.HashCodeBuilder,class,15,17,2,15,82,1,0,56,160,0.7222222,0.0,0.0,36,11,30,4,0,2,32,0,0,0,5,3,0,5,0,0,4,0,23,278,31,11,17,2,5,5,12,36,31,12,4,0,0,0,294,1,0
org.apache.commons.lang3.time.DateUtils,class,6,7,1,6,169,1,0,47,1828,0.98087424,0.0,0.0,61,60,53,8,0,0,53,0,0,0,12,12,11,1,0,0,12,0,91,552,64,5,59,1,7,15,63,89,26,52,6,0,2,0,441,1,0
org.apache.commons.lang3.time.DurationFormatUtils,class,3,5,2,3,77,1,0,34,58,0.8229167,0.0,0.0,12,11,9,1,0,2,11,0,0,0,8,8,1,0,0,7,8,0,37,365,11,12,16,0,4,31,53,120,28,42,4,0,1,0,276,1,0
org.apache.commons.math3.fraction.ProperFractionFormat,class,5,7,2,5,17,5,0,23,15,0.78571427,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,1,0,2,0,0,1,0,5,89,11,0,6,0,2,1,9,17,4,15,1,0,0,0,114,1,0
org.apache.commons.math3.linear.SchurTransformer,class,9,11,2,9,54,1,0,20,0,0.6857143,0.0,0.0,10,0,3,6,0,1,4,0,0,0,7,1,0,7,0,0,4,0,2,259,6,15,14,0,8,0,114,133,155,53,4,0,1,0,193,0,0
org.jfree.data.time.TimeSeries,class,9,14,5,9,154,2,0,80,901,0.87931037,0.0,0.0,58,0,51,5,0,2,53,0,0,0,11,3,0,7,4,0,3,0,34,598,56,9,19,2,11,35,60,146,34,96,3,0,0,0,403,1,0
org.joda.time.Partial,class,18,20,2,18,92,3,0,52,188,0.74545455,0.0,0.0,33,0,30,0,1,2,33,0,0,0,5,1,0,5,0,0,4,0,20,420,40,8,38,1,0,25,64,91,31,56,6,0,1,0,347,17,0
org.joda.time.Period,class,24,46,22,24,118,3,0,52,3655,0.99418604,0.0,0.0,86,11,84,2,0,0,84,0,0,0,2,2,1,1,0,0,2,0,44,465,74,2,26,0,62,17,85,90,47,46,2,0,0,0,467,17,0
org.joda.time.chrono.BasicMonthOfYearDateTimeField,class,13,18,5,13,46,4,1,39,0,0.73333335,0.0,0.0,18,0,16,1,0,1,17,0,0,0,5,2,0,5,0,0,5,0,9,193,24,1,11,0,13,2,36,68,43,46,2,0,0,0,133,0,0
org.joda.time.format.DateTimeFormatter,class,23,56,33,23,98,1,0,48,683,0.75,0.0,0.0,50,0,42,5,0,3,45,0,0,0,8,0,0,8,0,0,8,0,16,362,39,0,26,9,6,4,14,83,2,55,3,0,0,0,353,1,0
teder.TederFrame,class,5,9,4,5,41,12,0,43,70,0.87132347,0.0,0.0,17,0,17,0,0,0,17,0,0,0,16,2,16,0,0,0,2,0,6,279,9,3,14,0,0,26,19,41,2,35,3,0,2,0,104,1,0
twitter4j.TwitterImpl,class,56,57,1,56,336,2,0,149,33329,0.99253535,0.0,0.0,259,1,238,20,0,1,239,0,0,0,15,4,0,15,0,0,14,0,25,1212,264,5,35,14,4,532,71,97,212,74,3,1,0,0,368,0,4
umd.cs.shop.JSJshop,class,14,16,2,14,78,1,0,49,115,0.8355263,0.0,0.0,19,1,19,0,0,0,19,0,0,0,8,2,2,6,0,0,0,0,33,325,33,6,33,6,2,65,18,47,18,34,5,0,0,0,116,17,0
umd.cs.shop.JSState,class,11,24,13,11,26,5,0,28,28,1.0,0.0,0.0,8,0,6,0,0,2,8,0,0,0,1,0,0,1,0,0,0,0,10,116,6,6,0,0,1,12,13,29,0,27,3,0,0,0,56,1,0
