class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
JSci.maths.SpecialMath,class,4,12,8,4,117,2,0,23,182,0.902299,0.0,0.0,24,23,16,8,0,0,16,0,0,0,58,58,2,56,0,0,58,0,110,486,53,12,10,0,113,1,875,244,418,145,5,5,0,0,280,17,0
Scanner,class,5,13,8,5,435,1,0,62,0,0.6842106,0.0,0.0,38,0,5,33,0,0,5,0,0,0,7,0,1,3,0,3,0,0,0,1574,153,44,149,1,166,446,187,537,130,194,10,0,0,0,158,1,0
accessories.plugins.time.JDayChooser,class,4,12,8,4,134,10,0,82,1162,0.93035716,0.0,0.0,56,1,50,2,4,0,54,0,0,0,30,2,1,2,27,0,2,0,13,628,21,18,27,0,13,11,134,127,25,83,3,1,1,0,251,1,0
bcry.battlecryGUI,class,6,10,4,6,51,6,0,75,52,0.89724576,0.0,0.0,16,1,4,12,0,0,4,0,0,0,59,1,0,59,0,0,5,0,9,431,0,1,24,3,12,97,51,95,17,69,2,3,0,0,163,1,0
bierse.model.Drink,class,8,18,10,8,67,1,0,34,682,0.8994709,0.0,0.0,45,1,45,0,0,0,45,0,0,1,21,2,2,18,0,1,2,0,20,329,27,0,5,2,8,34,26,97,35,49,3,0,0,0,165,1,13
client.network.ForwardingObserver,class,10,10,0,10,8,1,0,15,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,41,0,0,2,0,0,0,8,14,0,10,3,0,0,0,62,1,0
com.eteks.sweethome3d.viewcontroller.HomeController,class,44,116,72,44,241,4,2,212,1338,0.8933424,0.0,0.0,92,0,64,24,4,0,68,0,1,0,16,1,0,16,0,0,7,0,3,1417,14,17,79,5,9,16,36,141,2,118,5,44,5,0,382,1,0
com.google.common.base.CharMatcher,class,36,73,37,36,109,50,26,40,1273,0.9607843,0.0,0.0,51,24,43,5,1,2,46,1,0,0,1,1,0,1,0,0,1,0,14,873,66,18,12,0,5,4,66,58,32,49,3,1,28,0,505,1025,0
com.google.common.base.Utf8,class,5,6,1,5,39,1,0,8,21,0.0,0.0,0.0,7,6,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,100,13,6,5,0,12,2,34,18,15,14,4,0,0,0,165,17,0
com.google.common.math.BigIntegerMath,class,12,13,1,12,77,2,0,45,120,0.9375,0.0,0.0,16,15,10,3,0,3,13,0,0,0,4,4,0,2,0,2,4,0,52,262,32,5,4,0,10,11,60,73,39,49,3,0,1,0,239,17,0
com.google.javascript.jscomp.ReferenceCollectingCallback,class,23,25,2,23,65,1,0,55,65,0.8111111,0.0,0.0,18,3,11,5,0,2,13,0,0,0,10,1,0,9,0,1,8,0,13,195,13,1,8,0,5,0,5,31,2,27,3,1,2,1,210,17,0
com.jstevh.viewer.ClassViewer,class,7,19,12,7,94,7,0,89,95,0.93734354,0.0,0.0,19,1,9,10,0,0,10,0,0,0,57,11,8,13,0,36,4,0,14,784,22,13,40,8,16,108,70,194,42,143,7,15,1,0,325,1,0
com.lts.io.DirectoryScanner,class,3,8,5,3,136,1,1,27,155,0.855372,0.0,0.0,22,3,14,0,8,0,22,0,0,0,11,1,0,0,11,0,1,0,8,469,43,40,32,0,6,21,57,128,35,96,5,0,0,0,275,1,0
com.mentorgen.tools.profile.runtime.Profile,class,7,14,7,7,55,1,0,52,62,0.804762,0.0,0.0,21,20,20,1,0,0,20,0,1,0,10,10,0,10,0,0,0,0,29,238,16,3,13,1,1,8,4,38,5,31,3,0,0,0,132,17,0
com.soops.CEN4010.JMCA.JParser.JavaCharStream,class,3,8,5,3,99,1,0,14,99,0.77798873,0.0,0.0,31,1,25,0,5,1,31,0,1,0,17,1,2,0,12,3,1,0,16,350,35,4,19,4,19,3,111,114,52,31,5,0,0,0,108,1,0
