class,label,magnitude
com.eteks.sweethome3d.SweetHome3D,1,medium
com.google.common.base.CharMatcher,1,medium
com.google.common.base.Splitter,-1,medium
com.google.javascript.jscomp.ControlFlowAnalysis,-1,large
com.google.javascript.jscomp.ExploitAssigns,-1,medium
com.mentorgen.tools.profile.runtime.Profile,-1,large
com.pmdesigns.jvc.tools.TokenMgrError,1,large
gnu.trove.map.hash.TFloatObjectHashMap,-1,large
jahuwaldt.plot.PlotAxis,-1,large
net.kencochrane.a4j.file.FileUtil,1,medium
org.apache.commons.lang3.ArrayUtils,-1,large
org.apache.commons.lang3.BooleanUtils,-1,large
org.apache.commons.lang3.ClassUtils,-1,large
org.apache.commons.lang3.LocaleUtils,-1,large
org.apache.commons.lang3.builder.HashCodeBuilder,1,large
org.apache.commons.math3.analysis.FunctionUtils,1,large
org.apache.commons.math3.fraction.ProperFractionFormat,-1,large
org.apache.commons.math3.linear.MatrixUtils,1,large
org.apache.commons.math3.linear.SchurTransformer,1,large
org.javathena.login.UserManagement,1,large
org.jfree.chart.plot.XYPlot,-1,large
org.jfree.data.time.TimeSeries,-1,large
org.joda.time.tz.ZoneInfoCompiler,1,large
org.znerd.xmlenc.XMLEncoder,1,large
twitter4j.TwitterImpl,-1,large
