class,label,magnitude
accessories.plugins.time.JDayChooser,1,large
bcry.battlecryGUI,1,large
com.eteks.sweethome3d.viewcontroller.HomeController,1,large
com.google.common.base.Splitter,1,large
com.google.common.cache.CacheBuilderSpec,1,large
com.google.javascript.jscomp.parsing.JsDocInfoParser,1,large
com.jstevh.viewer.ClassViewer,1,large
com.lts.io.DirectoryScanner,1,large
com.pmdesigns.jvc.tools.JVCParser,1,medium
com.soops.CEN4010.JMCA.JParser.JavaCharStream,1,large
de.devcity.parseargs.ArgsParser,1,large
de.progra.charting.CoordSystemUtilities,1,large
edu.mscd.cs.jclo.JCLO,1,large
glengineer.agents.GroupAgent,1,large
gnu.trove.list.linked.TDoubleLinkedList,1,large
gnu.trove.map.hash.TByteFloatHashMap,1,large
gnu.trove.map.hash.TByteObjectHashMap,1,large
gnu.trove.map.hash.TFloatObjectHashMap,1,large
ipac.BinaryCalculate,1,large
jigl.image.ops.ConnectedComponents,1,large
jigl.image.ops.levelOps.Clip,1,large
mindbright.ssh.SSHSCPGUIThread,1,large
net.kencochrane.a4j.file.FileUtil,1,large
nu.staldal.lagoon.LagoonGUI,1,large
org.apache.commons.cli.HelpFormatter,1,large
org.apache.commons.codec.language.DoubleMetaphone,1,large
org.apache.commons.collections4.list.TreeList,1,large
org.apache.commons.lang3.ArrayUtils,1,large
org.apache.commons.lang3.BooleanUtils,1,large
org.apache.commons.lang3.Conversion,1,large
org.apache.commons.lang3.builder.HashCodeBuilder,1,large
org.apache.commons.lang3.text.StrBuilder,1,large
org.apache.commons.lang3.time.DateUtils,1,large
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,1,large
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximization,-1,large
org.apache.commons.math3.geometry.euclidean.oned.IntervalsSet,1,medium
org.apache.commons.math3.geometry.euclidean.threed.Rotation,1,large
org.apache.commons.math3.linear.MatrixUtils,1,large
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex,1,large
org.databene.jdbacl.DBUtil,1,large
org.firebirdsql.encodings.EncodingFactory,1,large
org.heal.module.search.AdvSearchDAO,1,large
org.javathena.login.parse.FromClient,-1,medium
org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,1,large
org.jdom2.Verifier,1,large
org.jdom2.output.SAXOutputter,1,large
org.jdom2.util.NamespaceStack,1,large
org.jfree.data.time.TimeSeries,1,large
org.joda.time.base.BasePeriod,1,large
org.joda.time.format.DateTimeFormatterBuilder,1,large
org.joda.time.format.PeriodFormatterBuilder,1,large
org.jsecurity.util.AntPathMatcher,1,large
org.mozilla.javascript.Parser,1,large
org.scribe.model.Response,1,large
org.tartarus.snowball.ext.englishStemmer,1,large
org.tartarus.snowball.ext.italianStemmer,1,large
org.tartarus.snowball.ext.turkishStemmer,1,large
twitter4j.TwitterBaseImpl,1,large
umd.cs.shop.JSPredicateForm,1,large
umd.cs.shop.JSTerm,1,large
