TARGET_CLASS,Difference
Capture,0
Client,1
Convert,0
JSci.maths.LinearMath,-1
JSci.maths.SpecialMath,1
JSci.maths.symbolic.ExpressionParser,-1
JSci.maths.symbolic.SimpleCharStream,1
Joshua.FoxHunt.FoxHuntFrame,0
Joshua.FoxHunt.HuntDisplay,-1
MP3,0
Menu,0
Newzgrabber.BatchDriver,0
Newzgrabber.Downloader,-1
Newzgrabber.Newzgrabber,0
Scanner,-1
accessories.plugins.time.JDayChooser,1
apbs_mem_gui.Main,0
bcry.battlecryGUI,1
bcry.bcGenerator,-1
bible.obj.Verse,0
bible.util.Queue,0
bierse.controller.DefaultSettingsController,0
bierse.model.Drink,1
ch.bfh.egov.nutzenportfolio.common.AuswertungGrafik,1
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,0
ch.bluepenguin.email.client.tapestry.MessageList,0
client.network.ForwardingObserver,-1
com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,1
com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,0
com.allenstudio.ir.ui.MainMenu,0
com.allenstudio.ir.util.XmlElement,1
com.browsersoft.aacs.User,1
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,0
com.densebrain.rif.server.transport.WebServiceDescriptor,0
com.eteks.sweethome3d.SweetHome3D,1
com.eteks.sweethome3d.j3d.Room3D,0
com.eteks.sweethome3d.viewcontroller.HomeController,1
com.eteks.sweethome3d.viewcontroller.RoomController,1
com.gbshape.dbe.sapdb.SapdbTableList,0
com.gbshape.dbe.utils.DBEHelper,-1
com.google.common.base.CharMatcher,1
com.google.common.base.Joiner,0
com.google.common.base.Objects,0
com.google.common.base.Predicates,1
com.google.common.base.Splitter,1
com.google.common.base.Suppliers,-1
com.google.common.util.concurrent.Monitor,1
com.google.javascript.jscomp.CheckGlobalThis,-1
com.google.javascript.jscomp.CollapseProperties,0
com.google.javascript.jscomp.ControlFlowAnalysis,1
com.google.javascript.jscomp.ExploitAssigns,0
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,1
com.google.javascript.jscomp.ReferenceCollectingCallback,-1
com.google.javascript.jscomp.ScopedAliases,1
com.google.javascript.jscomp.parsing.JsDocInfoParser,1
com.google.javascript.rhino.jstype.RecordType,-1
com.gotoservers.ftp.FtpApplet,0
com.hf.sfm.crypt.Base64,-1
com.ib.client.ComboLeg,0
com.ib.client.ExecutionFilter,0
com.imsmart.servlet.HTMLFilter,0
com.jstevh.viewer.ClassInfo,1
com.jstevh.viewer.ClassViewer,1
com.jstevh.viewer.SAXDirParser,1
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,-1
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,0
com.lts.event.SimpleKeyListenerHelper,1
com.lts.io.DirectoryScanner,1
com.lts.swing.combobox.SimpleComboBox,-1
com.mentorgen.tools.profile.runtime.Profile,-1
com.mytdev.resources4j.impl.AbstractResources,0
com.pmdesigns.jvc.tools.JVCParser,1
com.pmdesigns.jvc.tools.JVCParserTokenManager,-1
com.pmdesigns.jvc.tools.TokenMgrError,-1
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,0
com.soops.CEN4010.JMCA.JMCAAnalyzer,1
com.soops.CEN4010.JMCA.JParser.JavaCharStream,1
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,1
com.werken.saxpath.XPathLexer,1
com.yahoo.platform.yui.compressor.JavaScriptCompressor,-1
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0
com.yahoo.platform.yui.compressor.YUICompressor,-1
corina.formats.TucsonSimple,1
de.beiri22.stringincrementor.StringIncrementor,1
de.beiri22.stringincrementor.helper.IndexedString,-1
de.devcity.parseargs.ArgsParser,1
de.huxhorn.lilith.data.access.AccessEvent,1
de.outstare.fortbattleplayer.model.impl.SimpleSector,1
de.outstare.fortbattleplayer.statistics.BattleStatistics,1
de.paragon.explorer.event.ExplorerFrameEventConverter,0
de.paragon.explorer.model.AttributeModelComparator,-1
de.progra.charting.CoordSystemUtilities,1
de.progra.charting.DefaultChart,0
de.tudarmstadt.ukp.wikipedia.api.CycleHandler,0
de.tudarmstadt.ukp.wikipedia.api.Title,1
de.tudarmstadt.ukp.wikipedia.api.WikipediaInfo,0
dk.statsbiblioteket.summa.storage.database.StatementHandler,0
dk.statsbiblioteket.summa.support.harmonise.InteractionAdjuster,0
dsachat.client.gui.InternalChatFrame,0
dsachat.server.Handler,1
edu.mscd.cs.jclo.JCLO,1
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,1
fi.vtt.noen.testgen.observations.formatter.DaikonFormatter,0
fps370.Fps370Panel,0
fr.pingtimeout.jtail.gui.action.IndexFileAction,-1
fr.pingtimeout.jtail.gui.view.JTailPanel,1
fr.unice.gfarce.dao.OracleIdentiteDao,0
fr.unice.gfarce.interGraph.ModifTableStockage,1
framework.util.StringUtils,1
framework.util.jdbc.JDBCUtils,-1
freemind.extensions.ExportHook,0
geo.google.datamodel.GeoStatusCode,0
geo.google.mapping.AddressToUsAddressFunctor,1
ghm.follow.gui.TabbedPane,-1
ghm.follow.search.SearchableTextPane,1
glengineer.agents.GroupAgent,1
glengineer.blocks.Block,0
gnu.trove.decorator.TDoubleShortMapDecorator,1
gnu.trove.decorator.TShortByteMapDecorator,1
gnu.trove.impl.hash.TCharHash,-1
gnu.trove.impl.hash.TFloatCharHash,1
gnu.trove.impl.hash.TFloatDoubleHash,-1
gnu.trove.impl.hash.TShortHash,-1
gnu.trove.list.linked.TDoubleLinkedList,1
gnu.trove.map.hash.TByteFloatHashMap,1
gnu.trove.map.hash.TByteObjectHashMap,1
gnu.trove.map.hash.TFloatObjectHashMap,1
gui.AudioManager,0
httpanalyzer.HttpAnalyzerView,0
httpanalyzer.Password,0
ioproject.server.network.ClientGroup,1
ipac.BinaryCalculate,1
ipac.WhoIS,1
jahuwaldt.plot.PlotAxis,1
jaw.entrada.Abrir,0
jaw.entrada.Salvar,0
jcmdline.HelpCmdLineHandler,0
jgaapGUI,0
jigl.image.levelSetTool.LevelSetNudge,1
jigl.image.ops.ConnectedComponents,1
jigl.image.ops.Shift,1
jigl.image.ops.levelOps.Clip,1
jipa.Main,1
jipa.Variable,-1
lotus.core.Game,0
lotus.core.phases.Phase,0
macaw.presentationLayer.MacawWorkBench,1
macaw.util.DisplayableListPanel,1
mindbright.ssh.SSHSCPGUIThread,1
mygrid.web._AvailableJobsResponse,0
mygrid.web._Fail,0
net.kencochrane.a4j.DAO.Product,0
net.kencochrane.a4j.file.FileUtil,1
